uniprotkb_id,uniprotkbac_id,organism,tpsprotein_names,tpsgene_names,geneprimary_identifier,genesecondary_identifier,emblgenbankddbjcds_id,synonym,organism_id,ec_number,uniparc,keywords,crossreference_interpro,geneontology_molecularfunction,taxonomiclineage_id,TPS CLASSIFICATION
F6HN27,F6HN27_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g05470,,,CCB56082.1,VIT_18s0001g05470,29760,,UPI000210910C ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I5S9,F6I5S9_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_13s0067g03830,,,CCB62297.1,VIT_13s0067g03830,29760,,UPI0002109BE8 ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7TLB1,D7TLB1_VITVI,Vitis vinifera (Grape),Terpene_synth domain-containing protein,VIT_18s0001g04560,,,CBI31283.3,VIT_18s0001g04560,29760,,UPI0001BE3966 ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],29760,
F6I7F6,F6I7F6_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_00s0271g00010,"VIT_200s0271g00010.1, ",PAC:38047827,CCB62874.1,VIT_00s0271g00010,29760,,UPI000210ABDC ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6H868,F6H868_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_00s0372g00040,"VIT_200s0372g00040.1, ",PAC:38049079,CCB48411.1,VIT_00s0372g00040,29760,,UPI000210A6B1 ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6HN07,F6HN07_VITVI,Vitis vinifera (Grape),Terpene_synth domain-containing protein,VIT_18s0001g04830,,,CCB56062.1,VIT_18s0001g04830,29760,,UPI0002108E25 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],29760,
F6I5S6,F6I5S6_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_13s0067g03700,,,CCB62294.1,VIT_13s0067g03700,29760,,UPI0002109BE6 ,Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6GXN8,F6GXN8_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_12s0134g00040,,,CCB44724.1,VIT_12s0134g00040,29760,,UPI00021097B9 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I6K3,F6I6K3_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_13s0067g00320,,,CCB62571.1,VIT_13s0067g00320,29760,,UPI0002109C2A ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6H867,F6H867_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_00s0372g00020,"VIT_200s0372g00020.1, ",PAC:38049300 ,CCB48410.1,VIT_00s0372g00020,29760,,UPI000210A6B0 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
D7UAX0,D7UAX0_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_19s0015g02080,,,CBI39885.3,VIT_19s0015g02080,29760,,UPI0001BE54E3 ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6I7L6,F6I7L6_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein (Fragment),VIT_00s0692g00020,,,CCB62935.1,VIT_00s0692g00020,29760,,UPI000210AC03 ,Reference proteome,IPR008949;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
D7TLE2,D7TLE2_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_18s0001g05510,,,CBI31314.3,VIT_18s0001g05510,29760,,UPI0001BE3982 ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6HN21,F6HN21_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_18s0001g05350,,,CCB56076.1,VIT_18s0001g05350,29760,,UPI0002108E32 ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6HMZ9,F6HMZ9_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g04430,,,CCB56054.1,VIT_18s0001g04430,29760,,UPI0002108E1E ,Reference proteome,IPR008949;IPR005162;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6H2I3,F6H2I3_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_19s0014g04880,,,CCB46463.1,VIT_19s0014g04880,29760,,UPI00021083C8 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
D7SQP0,D7SQP0_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_12s0134g00090,,,CBI17971.3,VIT_12s0134g00090,29760,,UPI0001BE12DD ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
D7TLC3,D7TLC3_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_18s0001g04990,,,CBI31295.3,VIT_18s0001g04990,29760,,UPI0001BE3972 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
D7TL95,D7TL95_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_18s0001g04110,,,CBI31267.3,VIT_18s0001g04110,29760,,UPI00015C96D1 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6HN23,F6HN23_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_18s0001g05390,,,CCB56078.1,VIT_18s0001g05390,29760,,UPI0002108E34 ,Membrane;Reference proteome;Transmembrane;Transmembrane helix,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6I6K2,F6I6K2_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_13s0067g00300,,,CCB62570.1,VIT_13s0067g00300,29760,,UPI0002109C29 ,Reference proteome,IPR008949;IPR036965;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6HN04,F6HN04_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_18s0001g04710,,,CCB56059.1,VIT_18s0001g04710,29760,,UPI0002108E23 ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6HN26,F6HN26_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_18s0001g05450,,,CCB56081.1,VIT_18s0001g05450,29760,,UPI0002108E37 ,Coiled coil;Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6HWW9,F6HWW9_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein (Fragment),VIT_00s1319g00010,,,,VIT_00s1319g00010,29760,,UPI000210A4A7 ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
D7TLC0,D7TLC0_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_18s0001g04820,,,,VIT_18s0001g04820,29760,,UPI0001BE396F ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6I6J8,F6I6J8_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_13s0067g00090,,,,VIT_13s0067g00090,29760,,UPI0002109C26 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR036965;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6H869,F6H869_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_00s0372g00060,"VIT_200s0372g00060.1, ",PAC:38046994 ,,VIT_00s0372g00060,29760,,UPI000210A6B2 ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6H2I1,F6H2I1_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_19s0014g04850,,,,VIT_19s0014g04850,29760,,UPI00021083C6 ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6HWU9,F6HWU9_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein (Fragment),VIT_00s0522g00020,,,,VIT_00s0522g00020,29760,,UPI000210A1F4 ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6HN03,F6HN03_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_18s0001g04690,,,,VIT_18s0001g04690,29760,,UPI0002108E22 ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6HN00,F6HN00_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_18s0001g04480,,,,VIT_18s0001g04480,29760,,UPI0002108E1F ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
D7TLA9,D7TLA9_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_18s0001g04530,,,,VIT_18s0001g04530,29760,,UPI00015C96E4 ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
D7SQP4,D7SQP4_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_12s0134g00140,,,,VIT_12s0134g00140,29760,,UPI0001BE12E1 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
E0CT29,E0CT29_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_19s0014g04840,,,,VIT_19s0014g04840,29760,,UPI0001BE1938 ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
D7TLA7,D7TLA7_VITVI,Vitis vinifera (Grape),Terpene_synth_C domain-containing protein,VIT_18s0001g04490,,,,VIT_18s0001g04490,29760,,UPI0001BE3928 ,Reference proteome,IPR008949;IPR005630;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
Q6PWU2,ATESY_VITVI,Vitis vinifera (Grape),(-)-alpha-terpineol synthase (EC 4.2.3.111),,,,,,29760,4.2.3.111,UPI00003529B3 ,Lyase;Magnesium;Metal-binding,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,MONOTERPENE SYNTHASE
Q6Q3H2,TPSVS_VITVI,Vitis vinifera (Grape),Valencene synthase (VvVal) (EC 4.2.3.73) (7-epi-alpha-selinene synthase) (EC 4.2.3.86),ValCS,,,,ValCS,29760,4.2.3.73; 4.2.3.86,UPI000034EC12 ,Cytoplasm;Lyase;Magnesium;Metal-binding,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,7-epi-alpha-selinene synthase activity [GO:0102906]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]; valencene synthase activity [GO:0102905],29760,SESQUITERPENE SYNTHASE
