,PMCIDS,keywords,TPS_match,TPS._match
64,PMC5681606,"Diadegma semiclausum', 'Herbivore-induced plant volatiles', 'Terpene synthase', 'Indirect Defence', 'Multiple Attack'","TPS03,', 'TPS04,', 'TPS10', 'TPS03', 'TPS10', 'TPS03', 'TPS10', 'TPS04,', 'TPS10', 'TPS03,', 'TPS04', 'TPS10', 'TPS03', 'TPS03', 'TPS03', 'TPS10', 'TPS10', 'TPS10', 'TPS10', 'TPS10', 'TPS03,', 'TPS10', 'TPS03,', 'TPS10', 'TPS04', 'TPS10', 'TPS03', 'TPS10),', 'TPS03).', 'TPS03,', 'TPS10'",
65,PMC7952619,"Structural genes', 'terpenes', 'Floral Scent', 'Myb', 'Hedychium Coronarium'","HcTPS1', 'HcTPS3', 'HcTPS10', 'HcTPS1,', 'HcTPS3,', 'HcTPS10,', 'proHcTPS1', 'proHcTPS3', 'proHcTPS10', 'HcTPS1,', 'HcTPS3,', 'HcTPS10,', 'HcTPS1,', 'HcTPS3,', 'HcTPS10,', 'HcTPS1', 'HcTPS10', 'HcTPS1', 'HcTPS3', 'HcTPS10', 'HcTPS1', 'HcTPS3', 'HcTPS10', 'HcTPS1,', 'HcTPS3,', 'HcTPS10,'",
66,PMC7696289,"Stevia', 'Stevia rebaudiana', 'Terpenoids', 'Terpene synthase', 'volatile organic compounds'","SrTPSs,', 'SrTPS', 'SrTPS2-5', 'SrTPS1', 'mono-TPS.', 'sesqui-TPSs,', 'SrTPS1-', 'SrTPSs', 'TPS-a', 'TPS-b', 'TPS-a', 'TPS-b', 'TPSs', 'SrTPS1-5', 'TPS', 'SrTPSs', 'SrTPSs.', 'SrTPSs,', 'SrTPS1', 'SrTPSs', 'SrTPS2', 'SrTPS1', 'SrTPS3', 'SrTPS4', 'SrTPS5', 'SrTPSs', 'SrTPSs,', 'SrTPSs', 'SrTPS2-5', 'SrTPS1', 'SrTPSs', 'SrTPS1,', 'TPS-b', 'SrTPS2', 'SrTPS3', 'SrTPS4', 'SrTPS5', 'SrTPSs,', 'SrTPSs', 'SrTPSs', 'sesqui-TPSs', 'SrTPS2', 'SrTPS3', 'SrTPS4', 'SrTPS5', 'SrTPS4', 'SrTPS5', 'SrTPS1', 'SrTPS1,', 'SrTPSs', 'SrTPS1', 'SrTPS2', 'SrTPS1,', 'SrTPS2,', 'SrTPS5', 'SrTPS1', 'SrTPS2', 'SrTPSs,', 'SrTPS4', 'TPSs', 'SrTPSs', 'SrTPS1', 'SrTPS2', 'SrTPS4', 'SrTPS2', 'SrTPS4', 'SrTPS1', 'SrTPS5', 'SrTPS3', 'SrTPS5', 'SrTPS3', 'SrTPS1,', 'SrTPS2,', 'SrTPS4', 'SrTPS2', 'SrTPS4', 'SrTPS5'",mono-TPS.'
67,PMC7676458,"Cellulase', 'Trichoderma reesei', 'Light response', 'chemical communication', 'secondary metabolism', 'Chemosensing', 'Heterotrimeric G-protein Pathway', 'Sor Cluster'",,
68,PMC8166937,NaN,"(TPS-g', '(TPS)', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS-a', 'TPS-b', 'TPS-g', 'TPS-a', 'TPS-b', 'TPS-Cin', 'TPS04', 'TPS-a', 'TPS-b'",
69,PMC3346232,NaN,"AlstroTPS', 'TPS', 'AlstroTPS', 'AlstroTPS', 'AlstroTPS', 'TPS', 'AlstroTPS', 'TPS', 'AlstroTPS', 'AlstroTPS', 'TPS,', 'AlstroTPS', 'AlstroTPS', 'AlstroTPS', 'TPS', 'AlstroTPS', 'AlstroTPS', 'AlstroTPS', 'AlstroTPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'AlstroTPS)', 'TPS-b', 'AlstroTPS', 'AlstroTPS', 'AlstroTPS.', 'TPS', 'AlstroTPS', 'AlstroTPS'",AlstroTPS.'
70,PMC3608961,NaN,"(TPSs),', 'TPSs', '(TPS),', 'TPSs', 'TPS'",
71,PMC4934395,"Floral Scent', 'Euglossa', 'Euglossine Bees', 'Orchid Genus Gongora', 'Plantâ€“pollinator Mutualism'",,
72,PMC6761604,"Volatile', 'herbivory', 'Terpene synthase', 'Defense', 'switchgrass'","PvTPS07,', 'PvTPS62,', 'PvTPS81,', 'PvTPS106.', 'PvTPS18,', 'PvTPS26,', 'PvTPS28,', 'PvTPS33,', 'PvTPS54,', 'PvTPS73,', 'PvTPS85,', 'PvTPS104),', 'PvTPS09', 'PvTPS02', 'TPS', 'TPS', 'TPSs', 'sesqui-TPSs.', 'TPS', 'PvTPS83', 'PvTPS02', 'TPS', 'TPSs', 'sesqui-TPS', 'TPS', 'TPS-a,', 'TPS-b,', 'TPS-g,', 'TPS-e', 'PvTPS04', 'PvTPS36', 'PvTPS56', 'PvTPS12,', 'PvTPS13,', 'PvTPS15,', 'PvTPS27,', 'PvTPS52,', 'PvTPS71)', 'PvTPS53', 'PvTPS101)', 'PvTPS13', 'PvTPS15', 'PvTPS12,', 'PvTPS56,', 'PvTPS71,', 'PvTPS101,', 'TPS', 'PvTPS02', 'PvTPS07', 'TPS', 'TPS', 'di-TPS', 'sesqui-TPS', 'di-TPS', 'sesqui-TPSs', 'TPSs', 'TPS', 'TPS-g', 'TPS-b', 'PvTPS15', '(TPS-e)', 'TPS-a,', 'TPS-b,', 'TPS-g', 'TPS', 'TPSs', 'TPS-a,', 'TPS-b,', 'TPS-e,', 'TPS-g', 'di-TPS,', 'di-TPSs,', 'TPS', 'TPS', 'TPS', 'PvTPSs', 'TPS', 'PvTPS11,', 'PvTPS14,', 'PvTPS19)', 'TPSs.', 'PvTPS16,', 'PvTPS05,', 'PvTPS06', 'PvTPS09', 'PvTPS06', 'PvTPS36', 'PvTPS36', 'PvTPS01', 'PvTPS04),', 'TPS', 'TPS', 'TPS', 'PvTPS01,', 'PvTPS04,', 'PvTPS05,', 'PvTPS06,', 'PvTPS08,', 'PvTPS11,', 'PvTPS14,', 'PvTPS16,', 'PvTPS19,', 'PvTPS36,', 'PvTPS53,', 'PvTPS56),', 'PvTPS12', 'PvTPS15', 'PvTPS04,', 'PvTPS13,', 'PvTPS16,', 'PvTPS53.', 'TPS', 'PvTPS05,', 'PvTPS06,', 'PvTPS10,', 'PvTPS11,', 'PvTPS14,', 'PvTPS17,', 'PvTPS19,', 'PvTPS20,', 'PvTPS36,', 'PvTPS53,', 'PvTPS56)', 'PvTPS53)', 'PvTPS02,', 'PvTPS03,', 'PvTPS07,', 'PvTPS09,', 'TPS', 'PvTPS02.', 'TPS', 'PvTPS08', 'PvTPS12,', 'PvTPS13,', 'PvTPS15', 'TPSs', 'PvTPS03', 'PvTPS10', 'PvTPS17,', 'PvTPS20', 'TPS53', 'PvTPS55,'",
73,PMC5867872,"Maize', 'Network Analysis', 'Regulatory Network Inference', 'Nitrogen Response Genes'","(TPS),'",
74,PMC5628445,"Natural population', 'Essential oil', 'Terpene', 'Gene Expression', 'Functional Characterisation'","MaTPS-CinB.', 'TPS-a', 'TPS-b', 'TPS-g', 'MaTPS21', 'MaTPS-CinA', 'MaTPS-Tln', 'MaTPS20.', 'MaTPS-SaH,', 'MaTPS25,', 'MaTPS2,', 'MaTPS10,', 'MaTPS3,', 'MaTPS6,', 'MaTPS23,', 'MaTPS19.', 'MaTPS-SaH,', 'MaTPS-Cin,', 'MaTPS-Tln', 'MaTPS-SaH', 'MaTPS-Tln,', 'MaTPS-CinA', 'MaTPS-Tln', 'MaTPS-Tln', 'MATPS-SAH:', 'MaTPS-CinA', 'MaTPS-CinB', 'MaTPS-Tln', 'MaTPS', 'MaTPS-SaH', 'MaTPS-CinA', 'MaTPS-CinB', 'MaTPS-Tln', 'MaTPS-SaH', 'MaTPS-Tln,', 'MaTPS-CinA,', 'MaTPS-SaH.', '(TPS-b', 'TPS-g)', '(TPS-a)'",
75,PMC1461696,NaN,,
76,PMC7698779,"TPS', 'Gcâ€“ms', 'Floral Scent', 'Linalool Synthase', 'Volatile Terpenes', 'Freesia Hybrida'","TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS'",
77,PMC6863749,"Photosynthesis', 'Methyl jasmonate', 'Isoprene', 'Monoterpenes', 'Eucalyptus grandis', 'Plant Growth Promoting Rhizobacteria'",,
78,PMC6944684,"DNA sequencing', 'Genome evolution'","TPSs', 'TPS', 'TPS', 'TPS', 'TPS-a,', 'TPS-b,', 'TPS-c,', 'TPS-e/f,', 'TPS-g', 'TPS-b', 'TPS-a', 'TPS', '(DcTPS1)', '(DcTPS2)', 'TPSs', 'TPS-a', 'TPS-b', 'TPSs', 'TPS-b', 'TPS-a', 'TPS-e/f', 'TPS-c', 'TPS-g', 'TPS', 'TPS', 'TPS'",
79,PMC7365961,"Molecular dynamics', 'Qm/mm', 'Terpene Cyclization', 'Oxy-functionalization', 'Sustainable Biocatalysis'","TPSs', 'dTPS'",
80,PMC7724791,NaN,"TPSs', 'TPS', 'TPS', 'TPSs', 'TPS', 'TPSs'",
81,PMC8146764,"Structure', 'Evolution', 'Origin', 'Resin', 'Gum', 'Calophyllaceae', 'Secretory Ducts', 'Kielmeyera'",,
82,PMC3017849,NaN,"VvTPS', 'VvTPS', 'VvTPS', 'TPS-b', 'VvTPS-b', 'VvTPS-b', 'TPS', 'VvTPS', 'TPS', 'TPS', 'TPS', 'TPS', 'VvTPS', 'TPS-b', 'VvTPS', 'TPS', 'VvTPS', 'TPS', 'TPS', 'VvTPS', 'VvTPS', 'VvTPS', 'TPS-e', 'TPS-c', 'TPS-f', 'TPS-a', 'VvTPS', 'VvTPS', 'VvTPS', 'TPS-a', 'VvTPS', 'VvTPS-a', 'TPS', 'TPS', 'VvTPS-a', 'TPS-g', 'TPS', 'TPS', 'VvTPS', 'TPS-b', 'TPS-g', 'TPS-g', 'TPS-b', 'VvTPS52', 'TPS-g', 'TPS', 'VvTPS', 'TPS-g', 'VvTPS.', 'VvTPS-g', 'VvTPS', 'TPS-g', 'VvTPS-g', 'TPS', 'VvTPS', 'VvTPS', 'VvTPS', 'TPS', 'TPS', 'TPS', 'TPS-like', 'VvTPS', 'VvTPS', 'TPS', 'VvTPS', 'VvTPS', 'TPS', 'VvTPS', 'VvTPS', 'VvTPS', 'VvTPS', 'VvTPS', 'VvTPS', 'VvTPS', 'VvTPS', 'VvTPS.', 'TPS', 'VvTPS', 'AtTPS', 'AtTPS', 'TPS-like', 'VvTPS', 'TPS-a', 'VvTPS-a', 'VvTPS', 'VvTPS', 'TPS-a', 'VvTPS-a', 'VvTPS', 'TPS-a', 'TPS', 'TPS-a', 'TPS', 'VvTPS', 'TPS', 'VvTPS', 'TPS', 'TPS-a', 'TPS-g', 'TPS-f', 'TPS-d', 'VvTPS', 'VvTPS-f', 'TPS', 'TPS-a', 'VvTPS', 'AtTPS', 'TPS-a', 'VvTPS', 'TPS-b', 'TPS-g', 'VvTPS', 'AtTPS', 'VvTPS', 'TPS-g', 'VvTPS', 'TPS-c', 'VvTPS', 'TPS-e', 'TPS', 'TPS', 'VvTPS', 'TPS-a,', 'VvTPS', 'TPS-g', 'VvTPS', 'VvTPS', 'TPS', 'TPS-g,', 'VvTPS', 'TPS-a,', 'TPS-c', 'TPS-e', 'TPS-g', 'TPS', 'VvTPS', 'VvTPS', '(VvTPS48,', 'VvTPS66', 'TPS-c', 'VvTPS67', 'VvTPS68)', 'TPS', 'TPS-c', 'TPS', 'VvTPS', 'TPS', 'VvTPS', 'TPS-a,', 'TPS-b', 'TPS-g', 'VvTPS17', 'TPS-a)', 'TPS-c', 'TPS-e', 'VvTPS', 'TPS-g', 'TPS-g', 'VvTPS', 'VvTPS', 'TPS-g', 'VvTPS', 'TPS-g', 'VvTPS', 'TPS-f', 'VvTPS', 'TPS-f', 'VvTPS', 'TPS-f', 'VvTPS', 'TPS-g', 'VvTPS', 'VvTPS', 'VvTPS', 'VvTPS', 'VvTPS', 'VvTPS', 'TPS-a', 'VvTPS', 'VvTPS', 'VvTPS', 'VvTPS', 'VvTPS42)', 'VvTPS', 'VvTPS', 'VvTPS', 'VvTPS', 'TPS', 'VvTPS', 'VvTPS', 'VvTPS', 'TPS', 'TPS', 'TPS-e', 'VvTPS', 'VvTPS', 'VvTPS', 'TPS', 'VvTPS', 'VvTPS', 'VvTPS', 'TPS-a', 'VvTPS', 'TPS', 'VvTPS', 'TPS-b', 'VvTPS', 'TPS-b', 'VvTPS', 'VvTPS', 'TPS-b', 'VvTPS-b'","VvTPS.', 'VvTPS.'"
83,PMC7659623,"Plant Biology', 'Gene Function Prediction', 'Pathway Discovery', 'Specialized Metabolism', 'Transcriptomes', 'Shiny', 'Coexpression Analyses', 'Mutual Rank', 'Customizable', 'Functional Association'","(TPS)', 'TPS'",
84,PMC7952643,"Salicylic acid', 'Tetranychus urticae (Koch)', 'Terpene synthase', 'volatile organic compounds', 'Solanum Lycopersicum', 'Phytoseiulus Persimilis'","(TPS)', '(TPS)', 'TPS5', 'TPS7', 'TPS19/20', 'TPS9', 'TPS18', 'TPS4', 'TPS12', 'TPS46', 'TPS35,', 'TPS5,', 'TPS46,', 'TPS20', 'TPS19', 'TPS19', 'TPS20', 'TPS20', 'TPS19.', 'TPS19/20'",
85,PMC5333544,"Homology Modelling', 'Farnesyl diphosphate', 'Sesquiterpene Synthase', 'Persicaria Minor', 'Î’-sesquiphellandrene'","(SbTPS1,', 'SbTPS2),'",
86,PMC5838521,"Lamiaceae', 'Terpene synthase', 'Cytochrome p450', 'Vitex Agnus-castus', 'Maldi-ms Imaging', 'Bioactive Diterpenoid'","diTPSs:', 'VacTPS2,', 'VacTPS6', 'VacTPS4', 'diTPSs', 'EpTPS7,', 'CfTPS2,', 'VacTPS2', 'VacTPS1', 'VacTPS1', 'VacTPS2', 'VacTPS3', 'VacTPS5', 'TwTPS14', 'VacTPS2', 'VacTPS6', 'VacTPS1,', 'VacTPS6', 'VacTPS3', 'CfTPS3', 'VacTPS6', 'VacTPS5', 'VacTPS4', 'CfTPS2,', 'EpTPS7', 'VacTPS4', 'diTPSs', 'diTPSs,', 'VacTPS1,', 'VacTPS2', 'VacTPS6,', 'VacTPS2', 'VacTPS6', 'diTPS', 'VacTPS5', 'diTPSs', 'diTPSs', 'VacTPS6', 'VacTPS6', 'VacTPS6', 'VacTPS3)', 'diTPSs:', 'VacTPS1,', 'VacTPS3', 'VacTPS5', 'VacTPS1', 'VacTPS1', 'diTPS', 'VacTPS3', 'VacTPS3', 'VacTPS5', 'TwTPS14,', 'VacTPS5', 'TwTPS14', 'VacTPS3', 'VacTPS5', 'VacTPS3', 'VacTPS5', 'diTPS', 'diTPS', 'VacTPSs', 'VacTPSs', 'VacTPSs', 'diTPSs', 'diTPSs', 'VacTPS1,', 'VacTPS3', 'VacTPS5', 'diTPS', 'TPSâ€êc', 'VacTPS1', 'VacTPS3', 'diTPSs', 'VacTPS1', 'VacTPS3', 'VacTPS5', 'diTPSs', 'diTPSs', 'diTPSs', 'VacTPS5', 'diTPSs', 'diTPSs', 'TPSâ€êe/f', 'VacTPS2', 'VacTPS6', 'VacTPS4', 'VacTPS4,', 'VacTPS4', 'VacTPS1.', 'diTPSs', 'VacTPS1', 'diTPSs.', 'VacTPS2', 'VacTPS6', 'diTPSs', 'diTPSs', 'VacTPSs', 'VacTPS1,', 'diTPSs', 'VacTPS2', 'VacTPS1'",
87,PMC2687518,NaN,"TPS', 'AtTPS21,', 'AtTPS21,', 'AtTPS21', 'AtTPS21,', 'AtTPS21-similar', 'AtTPS21'",
88,PMC7582291,"Medicinal plants', 'Metabolite Profiles', 'Maximum Quantum Yield Of Photosystem Ii', 'Antioxidant Phenolic Compounds', 'Physical Elicitors'",,
89,PMC2756395,NaN,"MtTPS2', 'MtTPS3', 'MtTPS1', 'sesqui-TPS', 'MtTPS5)', 'MtTPSs', 'MtTPS1', 'MtTPS3', 'sesqui-TPS', 'mono-/di-TPS,', 'TPSs', 'MtTPS1', 'MtTPS3,', 'MtTPS1', 'MtTPS3', 'mono-/di-TPS', 'MtTPS3', 'TPS', 'MtTPS3', 'MtTPS5', 'MtTPS5', 'MtTPS5', 'MtTPS1', 'MtTPSs', 'MtTPS1', 'MtTPS5', 'MtTPS3', 'TPS', 'MtTPS3', 'MtTPS1,', 'MtTPS3,', 'MtTPS5', 'TPS', 'MtTPS1,', 'MtTPS3', 'MtTPS1', 'MtTPS3', 'MtTPS5', 'MtTPS1,', 'MtTPS3', 'MtTPS5'",
90,PMC7392732,"Unsaturated fatty acids', 'Triterpenoids', 'Cell morphology', 'Yarrowia lipolytica', 'Lipid Manipulation'",TPS)',
91,PMC5034544,"Cyanobacteria', 'Isoprenoids', 'metabolic engineering', 'Synthetic Biology'","TPS', 'TPS', 'TPS)', 'TPSs', 'TPS', 'TPSâ€™s.', 'TPS'",
92,PMC7180759,"Clematis', 'Linalool', 'Monoterpenes', 'Terpene synthase', 'Floral Scent', 'Spatial Specificity', 'Tps-g Subfamily', 'Basal Dicot'","CfTPS', 'CfTPS', 'CfTPS', 'CfTPS', 'CfTPSs', 'CfTPS', 'CfTPS', 'CfTPS', 'CfTPS', 'CfTPS1', 'CfTPS2', 'CfTPS3', 'CfTPS1', 'CfTPS2', 'CfTPS3', 'CfTPS', 'TPS', 'TPS', 'CfTPS1,', 'CfTPS2,', 'CfTPS3.', 'CfTPS1),', 'CfTPS2),', 'CfTPS3)', 'CfTPS', 'CfTPS2', 'CfTPS1', 'CfTPS2', 'CfTPS3', 'CfTPS', 'TPS', 'TPSs', 'CfTPSs', 'TPS', 'CfTPS1', 'TPS-g', 'CfTPS2', 'TPS-b', 'CfTPS3', 'TPS-a'",
93,PMC7419205,,,
94,PMC5927414,NaN,,
95,PMC5432621,"Development', 'Grapevine', 'Integration', 'Candidate gene', 'Berry skin', 'Monoterpene', 'Muscat', 'Metabolic And Transcript Profiling'",TPS',
96,PMC6627501,"Sesquiterpenes', 'metabolic engineering', 'Khusimol', 'Microbial Production', 'Khusimene', 'Vetiver Essential Oil', '(+)-Zizaene'","TPS,', 'TPS'",
97,PMC6240891,"Essential oil', 'Transcriptome', 'Terpene synthase', 'Pelargonium', 'Geraniol Synthase'","mTPSs', 'TPSs', 'TPSs', 'mTPSs', 'sTPS.', 'mTPSs:', 'TPSs', 'mTPSs', 'sTPSs', 'TPS', 'TPS', 'TPSs,', 'TPS', 'TPSs', 'TPS-a', 'TPS', 'TPSs', 'TPS-g', 'TPSs', 'TPS-g', 'TPS', 'TPS', 'TPS', 'diTPS', 'TPS-c', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPS', 'TPSs', 'TPS', 'TPS-b', 'mTPSs;', 'TPS-a', 'sTPSs;', 'TPS-g', 'TPS', 'TPSs', 'mTPS', 'TPSs:', 'mTPS', 'TPSs'",sTPS.'
98,PMC4472261,NaN,"HcTPS6', 'HcTPS6', 'TPS-b', 'mono-TPSs),', 'HcTPS6', 'HcTPS6', 'HcTPS6', 'HcTPS6', 'HcTPS6', 'TPSs,', 'TPSs', 'HcTPS7', 'HcTPS8', 'TPSs', 'TPS-a', 'TPS-g', 'HcTPS1,', 'HcTPS3,', 'HcTPS6-8', 'HcTPS11', 'TPS-b', 'mono-TPSs;', 'HcTPS4,', 'HcTPS12,', 'HcTPS14', 'HcTPS16', 'TPS-a', 'sesqui-TPSs;', 'HcTPS5', 'TPS-g', 'HcTPS10,', 'HcTPS15', 'HcTPS17', 'TPS-f,', 'TPS-c', 'TPS-e', 'HcTPS15', 'HcTPS17', 'HcTPS13', 'TPS', 'TPS-d', 'HcTPS13', 'TPSs', 'HcTPS13', 'HcTPS13', 'TPSs', 'HcTPS13', 'TPSs', 'HcTPS13', 'HcTPS13', 'TPSs', 'HcTPS4,', 'HcTPS6,', 'HcTPS10,', 'HcTPS12,', 'HcTPS14', 'HcTPS16', 'HcTPS1,', 'HcTPS3,', 'HcTPS5,', 'HcTPS11', 'HcTPS13', 'HcTPSs', 'HcTPS4,', 'HcTPS6', 'HcTPS10', 'HcTPS1,', 'HcTPS3', 'HcTPS5', 'HcTPS10-14', 'HcTPS16', 'HcTPS13'",
99,PMC3239880,NaN,,
100,PMC6400417,NaN,,
101,PMC6367160,"Whitefly', 'innate immunity', 'Tylcv', 'Wrky33', 'Salivary Effector', 'Bsp9'","TPS)', 'TPS10,', 'TPS14,', 'TPS18', 'TPS20.', 'TPS10,', 'TPS18', 'TPS20'",
102,PMC6239295,NaN,"TPSs', 'OsaTPS', 'OsaTPS', 'TPS-b', 'OsaTPS', 'TPS', 'OsaTPS,', 'OsaTPS', 'TPS,', 'OsaTPS', 'OsaTPS3,', 'OsaTPS-c', 'TPS-c', 'TPS', 'TPS', 'TPS', 'OsaTPS', 'OsaTPS', 'OsaTPS', 'OsaTPS', 'OsaTPS19', 'OsaTPS', 'OsaTPS', 'TPS', 'OsaTPS', 'OsaTPS', 'OsaTPS', 'OsaTPS', 'OsaTPS', 'OsaTPS', 'OsaTPS', 'OsaTPS', 'OsaTPS', 'OsaTPS', 'OsaTPS', 'TPS-b', 'OsaTPSs,', 'TPS-b', 'TPS-g', 'OsaTPS-g', 'TPS-b', 'TPS-b1', 'TPS-b2,', 'TPS3,', 'TPS-b1', 'TPS', 'TPS-b2', 'OsaTPS24,', 'OsaTPS34', 'OsaTPS20,', 'OsaTPS23', 'OsaTPS', 'TPS', 'TPS-a', 'TPS-g', 'OsaTPS', 'TPS-a', 'TPS-b', 'TPS-c,', 'TPS-d', 'TPS-h', 'TPS-a', 'TPS', 'TPS-a', 'OsaTPS', 'OsaTPS', 'TPS-c,', 'TPS-c,', 'TPS-e', 'TPS-f', 'TPS', 'OsaTPS', 'OsaTPS42', 'TPS-f', 'TPS-e', 'OsaTPS40', 'OsaTPS41', 'TPS-c', 'OsaTPS', 'OsaTPS37', 'OsaTPS38', 'OsaTPS35', 'TPS', 'TPS', 'OsaTPS', 'OsaTPS', 'OsaTPS', 'TPS-a,', 'TPS-b', 'TPS-e', 'TPS-a', 'TPS-b,', 'TPS-c,', 'TPS-e', 'TPS-f', 'TPS-a', 'OsaTPS', 'OsaTPS', 'TPS', 'TPS', 'OsaTPS', 'TPS-a,', 'TPS-b,', 'TPS-g,', 'OsaTPS', 'TPS-a', 'TPSs,', 'OsaTPS4', 'OsaTPS', 'OsaTPS', 'TPS-b', 'OsaTPS21', 'OsaTPS', 'TPS-g', 'TPSs.', 'TPS-c,', 'TPS-e,', 'TPS-f', 'TPS', 'TPS-d', 'TPS', 'TPSs', 'OsaTPS', 'TPS-a', 'OsaTPS', 'TPS-b,', 'OsaTPS', 'TPS-e,', 'OsaTPS', 'TPS-f,', 'OsaTPS', 'TPS-g', 'TPSs.', 'OsaTPS', 'TPS-c'",
103,PMC7432446,"Methyl jasmonate', 'Abiotic stress', 'Orchids', 'Terpene synthase', 'terpenes'","DoTPS', 'TPS', 'TPS', 'TPS', '(TPS-a,', 'TPS-b,', 'TPS-c,', 'TPS-d,', 'TPS-e/f,', 'TPS-g,', 'TPS-h)', 'DoTPS', '(TPS-a,', 'TPS-b,', 'TPS-c,', 'TPS-e/f,', 'TPS-a', 'TPS-b', 'TPS', 'TPS-a,', 'TPS-b', 'TPS-a', 'TPS-a1', 'TPS-a2', 'TPS-a', 'TPS-a', 'TPS-c', 'TPS-d', 'TPS-h', 'DoTPS', 'DoTPS-a', 'DoTPS-b', 'DoTPS8,', 'TPS-c', 'TPS-e/f', 'DoTPS', 'DoTPS', '(DoTPS1,', 'DoTPS8', 'TPS-a', 'DoTPS31', 'TPS-c', 'DoTPS31', 'TPS-c', 'TPS-c', 'DoTPS8,', 'TPS-a', 'DoTPS1,', 'TPS-b', 'DoTPS32', 'TPS-e/f', 'DoTPS', 'TPS', 'DoTPS', 'DoTPS', 'DoTPS6,', 'DoTPS4,', 'DoTPS1,', 'DoTPS', 'DoTPS10', 'DoTPS10', 'DoTPS10', 'DoTPS10', 'TPS', 'DoTPS10', 'DoTPS10', 'DoTPS10', 'DoTPS10', 'DoTPS10', 'DoTPS10', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS1,', 'DoTPS', 'DoTPS9,', 'DoTPS2,', 'DoTPS5,', 'DoTPS', 'DoTPS4,', 'DoTPS', 'DoTPS20', 'DoTPS32.', 'DoTPS', 'DoTPS10', 'DoTPS10', 'DoTPS10', 'DoTPS10', 'FhTPS1,', 'FhTPS2,', 'FhTPS4,', 'FhTPS5', 'TPS', 'TPS', 'TPS', 'TPS', 'DoTPS', 'DoTPS12)', 'DoTPS4),', '(DoTPS12)', '(DoTPS4),', '(DoTPS12)', '(DoTPS4).', 'DoTPS', '(DoTPS19)', '(DoTPS4).', '(DoTPS4)', '(DoTPS19),', 'DoTPS', 'DoTPS19', 'DoTPS', '(DoTPS4)', '(DoTPS4),', '(DoTPS20)', '(DoTPS31).', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS11,', 'DoTPS', 'DoTPS4,', 'DoTPS13,', 'DoTPS9,', 'DoTPS', 'DoTPS28', 'DoTPS8', 'DoTPS5,', 'DoTPS16,', 'DoTPS1,', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS32', 'DoTPS8', 'DoTPS12', 'DoTPS', 'DoTPS7,', 'DoTPS', 'DoTPS', 'DoTPS,', 'DoTPS', 'DoTPS3', 'DoTPS31', 'DoTPS', 'DoTPS12.', 'DoTPS', 'DoTPS1,', 'DoTPS1,', 'DoTPS5,', 'DoTPS2,', 'DoTPS4,', 'DoTPS2,', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS28,', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS', 'DoTPS'",
104,PMC3466413,NaN,"TPS20-related', 'TPS20', 'TPS20', 'TPS20-related', 'TPS20-related', 'TPS-e/f', 'SlTPS20),', 'TPS20-related', 'TPS', 'TPSs', 'TPSs', 'TPSs', 'TPS-e/f', 'TPS-e/f', 'TPS-e/f', 'TPS-e/f', 'TPS18,', 'TPS20', 'TPS18,', 'TPS18', 'TPS18', 'TPS18', 'TPS18', 'TPS18', 'TPS18', 'TPS-e/f', 'TPS', 'TPS', 'TPS9', 'TPS12,', 'TPS(s).'",
105,PMC6593445,"Diterpenoid', 'Transcriptome', 'Terpene synthase', 'transit peptide', 'Prunella Vulgaris (Common Selfheal)', 'Vulgarisane'","TPS', 'TPS', 'TPSs', 'TPSs', 'TPSâ€êa', 'TPSâ€êa', 'PvTPS4', 'PvTPS5', 'TPSs', 'PvTPS4', 'TPSs', 'PvTPS4', 'PvTPS2', 'PvTPS2', 'TPS', 'PvTPS2,', 'PvTPS3', 'PvTPS4', 'PvTPS4,', 'PvTPS5,', 'TPSâ€êa', 'PvTPS2', 'PvTPS4', 'PvTPS5', 'PvTPS5', 'PvTPS2', 'PvTPS2', 'PvTPS2.', 'PvTPS4', 'PvTPS5', 'PvTPS4,', 'TPSs', 'PvTPS5', 'PvTPS2', 'PvTPS::GFP', 'TPSs,', 'TPS', 'PvTPS2::GFP', 'PvTPS4::GFP', 'PvTPS5::GFP(Fig.\xa0', 'TPS', 'TPS', 'TPS', 'TPSâ€êa', 'TPSâ€êa', 'TPSâ€êa', 'TPS', 'TPSâ€êa', 'TPS', 'TPSâ€êa', 'TPS', 'sesquiTPS', 'diTPS', 'TPS'",
