,result ,yake_keywords,entities,TPS_match,Camellia_match,terms
105,"After plant perception of PAMPs, signals from the PRR complexes are transferred to downstream targets through several secondary messengers, including influx of calcium (Ca 2+), reactive oxygen species (ROS) burst, and activation of mitogen-activated protein kinases (MAPKs) [ 51]. The calcium influx is an early step in the signal transduction processes [ 52]. Ca 2+ influx can be sensed by several stimulus-specific Ca 2+-binding sensors such as calcium-dependent protein kinases (CPKs) and Calmodulins (CaMs). Previous studies have shown that transgenic potato plants containing  StCDPK4 and  StCDPK5 ( CPK homologs) gain resistance to  Phytophthora infestans [ 53]. A wheat  CPK homolog ( TaCPK7-D) is involved in determining resistance to necrotrophic pathogen  Rhizoctonia cerealis. Here, we identified eight CPKs homologs only in “Candidum“ ( Table 5 and  Table S9) and suspect that they may be important signal sensors which modulate resistance to necrotrophic pathogens. CaMs and CaM-like (CML) genes could trigger plant defense responses to a broad range of pathogens. In tobacco, a  CML gene,  NtCaM13, is a key gene for resistance to the necrotrophic pathogens  Pythium aphanidermatum and  Rhizoctonia solani [ 54]. Four  CaM gene homologs were identified among “Candidum” unigenes ( Table 5). ROS are important signals to modulate the expression of defense-related genes to fungal pathogen attacks [ 55]. The production of ROS involves a number of oxidative enzymes such as the NADPH (nicotinamide adenine dinucleotide phosphate) oxidase, the superoxide dismutase, the cell wall peroxidase, the oxalate oxidase, the lipoxygenase, and the polyamine oxidase [ 56]. These enzymes work collaboratively or separately to initiate a series of responses including cell wall remodeling, signal transduction, programming cell death, and post-translation regulation to resist pathogens [ 56]. So far, our understanding of the roles ROS play in plant roots and resistance against necrotrophic pathogens is still rudimentary [ 56]. In banana, studies have shown that a NADPH oxidase homolog ( Rboh) confers resistance against the necrotrophic pathogen  Fusarium oxysporum. In  Arabidopsis and cotton,  F. oxysporum-resistant lines accumulated ROS faster than the susceptible lines [ 57, 58]. In this study, we identified five putative ROS-related unigenes (superoxide dismutase) that were exclusively expressed in “Candidum” ( Table 5). MAPK activation is another early signaling activity after plants sense the attack from pathogens [ 59]. Plant MAPK cascades transfer signals from PRRs to downstream components [ 60]. In  Arabidopsis, MAPK cascades involve several MAPKs such as MEKK1, MKK1/MKK2 (two redundant MAPKKs), MPK4/MPK5 (two redundant MAPKs), and MPK3/MPK6 (two partially redundant MAPKs). Previous studies have shown that MPK3, MPK4, MPK6, MKK1, MKK2, and MEKK1 are involved in innate immune responses against necrotrophic pathogens [ 61]. Of 4956 unigenes only observed in the “Candidum” root transcriptome, there were eight  MAPK homologs including three  MPK1, two  MPK2, one  MPK4, one  MPK5, and one  MPK14 homolog ( Table 5).","['Table', 'necrotrophic pathogens', 'secondary messengers', 'reactive oxygen', 'oxygen species', 'Candidum', 'ROS', 'necrotrophic', 'pathogens', 'resistance']","[PAMPs, mitogen-activated protein kinases, MAPKs, calcium-dependent protein kinases, CPKs, CaMs, CPK homologs, CPKs, CaMs, CaM-like (CML), superoxide dismutase, peroxidase, oxalate oxidase, lipoxygenase, polyamine oxidase, NADPH oxidase homolog, superoxide dismutase, MAPK, MAPK, PRRs, MAPK, MAPKs, MEKK1, MKK1/MKK2 (, MAPKKs, MAPKs, MPK3/MPK6, MAPKs, MPK3, MPK4, MPK6, MKK1, MKK2, MEKK1, MPK2]",[],[],NaN
106,"Increased biosynthesis of hormones is an important plant defense response to invading pathogens [ 37]. In plants, ethylene (ET) and jasmonic acid (JA) are two important hormones involved in resistance against necrotrophic pathogens.  S-adenosylmethionine ( S-AdoMet) and 1-aminocyclopropane-1-carboxylic acid (ACC) are two precursors of ethylene [ 62]. Enzymes catalyzing ET biosynthesis reactions include ACC synthase (ACS) and ACC oxidase (ACO) [ 62]. Among the annotated unigenes in “Candidum”, both key enzymes participating in ET synthesis were identified ( Table 5 and  Table S10). Synthesized ethylene can be then perceived and transduced by ethylene receptors to trigger downstream biological responses. There are several types of ethylene receptors in  Arabidopsis, such as ethylene receptors (ETRs), ethylene response sensors (ERSs), and ethylene insensitive (EINs) [ 63]. However, the roles ethylene receptors play in necrotrophic pathogen resistance seem to be different depending on plant species and the types of pathogens. In  Arabidopsis, the  ein2 (ethylene insensitive) mutant lines displayed increased susceptibility to the necrotrophic pathogen  Botrytis cinerea [ 64], while in soybean, the  etr1 and  etr2 (ethylene-resistant) mutant lines showed increased resistance against  Phytophthora sojae [ 65]. In this study, we observed 14  ETR homologs that were expressed in the three caladium cultivars. One  ETR-like unigene was expressed exclusively in the “Candidum” root transcriptome; this unigene could be a good candidate for future studies.","['ethylene', 'ethylene receptors', 'plant defense', 'ACC', 'important hormones', 'invading pathogens', 'receptors', 'important plant', 'Candidum', 'defense response']","[ACC oxidase, “Candidum”, ethylene receptors]",[],[],NaN
107,"JA is another important hormone in plant defense against many necrotrophic pathogens [ 66]. It has been reported that exogenous applications of methyl jasmonate to  Arabidopsis enhance plant resistance to root rot disease caused by the necrotrophic pathogen  Pythium mastophorum [ 67]. Cohen et al. [ 68] found that methyl jasmonate-treated potatoes showed increased resistance to  Phytophthora infestans. Studies in tomato have shown that the  CORONATINE-INSENSITIVE1 gene ( COI1), the acyl-CoA oxidase gene ( ACX1A), the  suppressor of prosystemin-mediated responses2 ( SPR2), and the  defenseless1 gene ( def1) are involved in JA-induced defense responses against necrotrophic pathogens such as  Botrytis cinerea [ 37]. Tomato plants with either one of these genes mutated could not correctly process JA synthesis, and JA signal perception or transduction, resulting in disrupted immune responses and susceptible plants [ 37]. We found that 55 unigenes were potentially involved in JA synthesis and expressed in all three caladium cultivars. One  ACX1A homolog was expressed only in “Candidum” ( Table 5), which suggests that this unigene may be a good candidate for further gene expression studies.","['important hormone', 'necrotrophic pathogens', 'pathogen Pythium', 'Pythium mastophorum', 'necrotrophic', 'Arabidopsis enhance', 'gene', 'pathogens', 'plant', 'plants']","[potatoes, COI1, ACX1A, SPR2, def1, JA signal]",[],[],NaN
108,"Plants can secrete secondary metabolites around their rhizosphere to inhibit or repel soil-borne pathogens. In general, phenolics and terpenoids are two primary classes of root-secreted antimicrobial metabolites [ 69]. Common root-secreted phenolic compounds include phenylpropanoids and flavonoids [ 70]. Many phenylpropanoids from a broad range of plant species have shown antimicrobial activities [ 71]. Phenylpropanoids in chickpea roots affect resistance against the necrotrophic pathogen  Fusarium oxysporum; resistant chickpea varieties produce significantly more phenylpropanoids than susceptible ones [ 72]. Lanoue et al. [ 71] found that phenylpropanoids were constitutively secreted by the barley root system and inhibited  Fusarium graminearum spore germination. In “Candidum“, we found two unigenes that are likely involved in phenylpropanoid synthesis. Flavonoids are often one of the largest groups of phenolics in root exudates [ 69]. Studies in maize have indicated that high levels of flavonoids are associated with an increased defensive state in its roots [ 73]. We identified four unigenes in “Candidum” that are likely involved in flavonoid synthesis ( Table 5 and  Table S11).","['secrete secondary', 'repel soil-borne', 'secondary metabolites', 'phenylpropanoids', 'soil-borne pathogens', 'Candidum', 'metabolites', 'antimicrobial metabolites', 'Fusarium', 'Table']","[“Candidum“, “Candidum”]",[],[],NaN
109,"Terpenoids are another large group of compounds in root exudates that have antimicrobial activities [ 74]. Some volatile terpenoids emitted from roots could act as a direct barrier against pathogens [ 69]. In  Arabidopsis, Steeghs et al. [ 75] found a below-ground volatile compound (monoterpene 1,8-cineole) which had direct effects on  Pseudomonas syringae. Kapulnik et al. [ 76] observed that strigolactones released from roots inhibited the growth of several soil-borne pathogens, including  Fusarium oxysporum,  Fusarium solani, and  Macrophomina phaseolina. We identified four unigenes in the “Candidum” root transcriptome that are likely involved in the terpenoid synthesis pathway. Derivatives of tryptophan are another important antimicrobial root exudates. Typical examples of tryptophan derivatives include camalexin, which is produced by  Arabidopsis and exhibits antimicrobial activities to a wide range of soil-borne pathogens including  Pythium sylvaticum,  Rhizoctonia solani, and  Sclerotinia sclerotiorum [ 77, 78]. In the “Candidum” root transcriptome, we found nine tryptophan synthesis-related unigenes ( Table 5 and  Table S11), which may be involved in resistance against soil-borne necrotrophic pathogens. One of these unigenes is root-specific.","['large group', 'Candidum', 'root', 'pathogens', 'Table', 'Arabidopsis', 'Fusarium', 'antimicrobial', 'soil-borne', 'tryptophan']",[],[],[],NaN
110,"Transcriptome sequencing data have become a very important resource for discovering nucleotide sequence polymorphisms and developing molecular makers. SSRs and SNPs are two very important types of nucleotide sequence polymorphisms, and each has its own characteristics: SSRs are multi-allelic and hyper-variable, while SNPs are the most abundant type [ 79]. Molecular markers based on SSRs and SNPs have been widely used in plants for a wide range of research and practical purposes, including estimation of genetic diversity, determination of phylogenetic relationship, development of genetic linkage maps, identification of quantitative trait loci (QTL), association studies, marker-assisted breeding, and cultivar identification and protection [ 80]. In many uses, SSR and SNP-based molecular markers can complement each other.","['nucleotide sequence', 'sequence polymorphisms', 'Transcriptome sequencing', 'sequencing data', 'important resource', 'discovering nucleotide', 'molecular makers', 'developing molecular', 'important types', 'sequence']","[SSRs, SSRs, SSRs]",[],[],NaN
111,"To reveal SSRs in caladium transcriptomes, all assembled unigenes were subjected to the MISA software for screening putative SSR motifs. As a result, 28,837 SSR repeats were discovered, including 2594 mono-, 15,504 di-, 9583 tri-, 443 quad-, 346 penta-, and 367 hexa-nucleotides ( Table 6). The most abundant type of SSR motifs was AG/CT (43.2%), followed by A/T (7.8%), AGG/CTT (7.5%), and AC/GT (6.1%) ( Table 6). The 8988 unigenes that contain these SSRs were subjected to the Primer 3 software for primer designing, which resulted in 44,922 pairs of primers for use in caladium ( Table S12).","['MISA software', 'Table', 'screening putative', 'SSR motifs', 'caladium transcriptomes', 'reveal SSRs', 'putative SSR', 'MISA', 'assembled unigenes', 'SSR']","[SSRs, 28,837 SSR, A/T, AGG/CTT (, SSRs, caladium ( Table S12]",[],[],NaN
112,"To detect SNPs, the unigenes of “Candidum”, “Gingerland”, and “Miss Muffet” were merged to generate a set of reference sequences. SNP sites were called for “Candidum”, “Gingerland”, and “Miss Muffet” by mapping their clean reads to the set of reference sequences. As a result, 281,728, 244,685, and 270,217 SNP sites were identified for “Candidum”, “Gingerland”, and “Miss Muffet”, respectively ( Table S13). The frequency of SNPs in these unigenes ranged from 1 per 487 bp in “Candidum” to 1 per 560 bp in “Gingerland”. The most abundant SNPs were of the transition-type (about 60.1%), cytosine to thymine (C ↔ T) or adenine to guanine (A ↔ G), followed by the transversion-type (A ↔ C, A ↔ T, C ↔ G, or G ↔ T) (39.9%) ( Table 7 and  Table S13).","['Miss Muffet', 'reference sequences', 'Candidum', 'Gingerland', 'Miss', 'Muffet', 'SNP sites', 'detect SNPs', 'Table', 'SNPs']","[“Candidum”, “Gingerland, ”, “Miss, ”, “Candidum”, “Gingerland, ”, “Miss, ”, 281,728, 244,685, 270,217 SNP, “Candidum”, “Gingerland, ”, “Miss, ”, “Gingerland”, guanine (A ↔ G, C ↔, G ↔ T, S13]",[],[],NaN
113,"Molecular markers have become a highly valuable tool in genetic improvement of plant resistance to various pathogens [ 81]. The main bottleneck that constrains breeding efforts to improve  Pythium root rot resistance in caladium has been the low efficiency in phenotyping large breeding populations and the difficulty in obtaining reliable data for resistance to  Pythium root rot. The availability of molecular DNA markers closely linked to or associated with caladium root rot resistance will empower breeders to implement highly desired marker-assisted selection in caladium. The putative disease resistance/defense genes and the large numbers of SNPs and SSRs identified in caladium root transcriptomes will serve as a very important genomic resource for developing molecular markers, linkage map construction, association studies, identification and validation of caladium QTL linked to  Pythium root rot resistance. Such a marker-assisted selection strategy has been successfully implemented in many agronomic and horticultural plant species and has resulted in enhanced resistance to a wide spectrum of pathogens [ 82]. It is expected that application of this strategy will speed up the development and deployment of new  Pythium-resistant caladium cultivars.","['Pythium root', 'root rot', 'rot resistance', 'valuable tool', 'genetic improvement', 'resistance', 'root', 'Pythium', 'rot', 'caladium']",[SSRs],[],[],NaN
114,"For GC-MS analysis, 236 bioactive phytochemical compounds were identified using n-hexane extracts from three fresh aerial parts of  S.  officinalis. The numbers of obtained bioactive phytochemical compounds from young leaves, old leaves and stems were 113 (89.29%), 108 (91.54%) and 82 (85.27%), respectively. The results of the qualitative and quantitative analyses of all phytochemical compounds from the essential oils are reported in (Table  1 and Supplementary Table  S1). The identified phytochemical compounds are listed based on the retention time, compound mass and percentage of peak area (Fig.  1A,B). In young leaves, the monoterpene compounds were shown as the main group (66.64%), followed by the group of sesquiterpene compounds (15.87%) and diterpene compounds (1.4%). In old leaves, the monoterpene compounds were observed to be the main group (52.7%), followed by the sesquiterpene group (15.01%) and the diterpene group (14.18%), and only one triterpene compound represented 0.16%. Sesquiterpenes form the main group of compounds (23%) found in the stems, followed by diterpenes (19.53%), monoterpenes (19.11%) and and one triterpene compound represented 0.02% (Supplementary Table  S1). Moreover, the three hexane extracts from the different tissues for essential oils contained unique, common and major phytochemical compounds. For example, the essential oil extracts of young leaves (A) had 61 unique compounds, 35 common compounds shared with the essential oil extracts from old leaves, five common compounds shared with the essential oil extract from stems and 12 common compounds shared among all three plant parts. Furthermore, the old leaves (B) contained 57 unique compounds and four common compounds shared with the stems. On the other hand, the stems (C) contained 61 unique compounds (Fig.  1C). Regarding the major phytochemical compounds, 1,8-cineole (41.20%) was the major compound in the essential oil extracts from young leaves, followed by β-caryophyllene (9.01%), camphor (6.27%), β-pinene (6.23%), and α-terpinenyl acetate (4.23%), whereas the essential oil extracts of old leaves was characterized by 1,8-cineole (25.93%), followed by camphor (11.52%), sugiol (10.80%), β-caryophyllene (5.51%), and α-caryophyllene (3.72%). Sugiol was characterized as the major compound of stem extracts (15.89%), followed by 1,8-cineole (12.37%), β-caryophyllene (10.23%), α-caryophyllene (7.30%), and then isocaryophyllene oxide (3.24%) (Table  1). When comparing the composition of the three essential oil extracts of  S.  officinalis, we deduced that some common compounds exist at different levels within the parts of  S.  officinalis (Fig.  1A). Additionally, some of the compounds that have been found in  S.  officinalis were detected in other  Salvia plant species (Table  1 and Supplementary Table  S1) 14–  16. Therefore, we suggest that plant parts can have a major effect on the composition of their essential oils. From these and previous GC-MS data 17,  18, an important question has been raised: why do the monoterpene compounds of  S.  officinalis mostly accumulated in young leaves? This question was difficult to answer before conducting the present work because there was a lack of information at the genetic level regarding the terpenoid biosynthetic pathway and how these compounds are synthesized in  S.  officinalis. ","['compounds', 'phytochemical compounds', 'Supplementary Table', 'essential oil', 'oil extracts', 'common compounds', 'Table', 'leaves', 'essential', 'young leaves']","[β-caryophyllene (, α-terpinenyl acetate, β-caryophyllene (10.23%]",[],[],NaN
115,"In the past few years, the Illumina sequencing platform has become a powerful method for analysing and discovering the genomes of non-model plants 19,  20. In this context, to generate transcriptome sequences, complementary DNA (cDNA) libraries were prepared from leaf tissues of  S.  officinalis, and cDNA was then sequenced using paired-end reads (PE) sequencing using an Illumina HiSeq 2000 platform. Previous reports involving Illumina sequencing reported that the use of PE sequencing showed significant improvement in the efficiency of  de novo assembly and increased the depth of sequencing 9,  21. The cDNA sequencing generated 6.6 Gb of raw data from  S.  officinalis leaves. After filtering and removing the adapter sequences from the raw data, the number of reads was 21,487,871 (21.48 million), comprising of 98,521,170 high-quality nucleotide bases, with 95.90% Q20, 91.69% Q30 and 48.73% GC content. For further analysis, high-quality reads were selected, and the transcriptome was assembled using the Trinity program 22, which produced 88,554 transcripts with an N50 length of 1,793 bp, an N90 length of 479 bp and a mean length of 1,113 bp. Moreover, 48,671 unigenes could be detected with an N50 length of 1,485 bp, an N90 length of 298 bp and a mean length of 813 bp. The distribution of the assembled transcript length ranged from 200 to >2,000 bases; the maximum number of transcripts (34,051 transcripts, 38.45%) ranged from 200 bp to 500 bp, followed by 22,529 transcripts (25.44%) ranging from 1,000 to 2,000 bp and then 17,658 transcripts (19.94%) ranging from 500 to 1,000 bp. On the contrary, the lowest number of transcripts (14,316 transcripts, 16.17%) was obtained for a size of more than 2,000 bp. By contrast, the assembled unigene lengths were distributed between 200 and >2,000 bp. The maximum number of unigenes (27,381 unigenes, 56.26%) ranged from 200 to 500 bp, followed by 8,576 unigenes (17.62%) ranging from 500 to 1,000 bp and then 8.068 unigenes (16.58%) ranging from 1000 to 2,000 bp. Finally, the lowest number of unigenes (4,646 unigenes, 9.54%) was obtained for a size of >2000 bp. The length distributions of the transcripts and unigenes are shown in Supplementary Table  S2 and Fig.  S1. Our results are in good agreement with those for  Boehmeria nivea,  Medicago sativa,  C.  Longa,  Centella asiatica and  Apium graveolens, in which the largest number of both transcript and unigene lengths were found to range between 75 and 500 bp 23,  24.","['Illumina sequencing', 'length', 'Illumina', 'sequencing', 'non-model plants', 'unigenes', 'transcripts', 'powerful method', 'number', 'Illumina HiSeq']","[PE, PE, 21,487,871 (, 98,521,170, Q30, 88,554, 48,671, 34,051, 27,381]",[],[],NaN
116,"The total number of unigenes (48,671, 100% of all unigenes) was compared against the public dabases, including the NCBI non-redundant protein sequences (NR), the NCBI nucleotide sequences (NT), the Kyoto Encyclopedia of Genes and Genomes (KEGG), the KEGG orthology (KO), Swiss-Prot, the protein family annotation (PFAM), Gene Ontology (GO), and the euKaryotic Ortholog Groups database (KOG) annotation databases (Supplementary Table  S3 and Fig.  S2). The annotation percentage results in this research were higher than the annotation percentages in other non-model plant studies [58% in safflower ( Carthamus tinctorius) and 58.01% in Chinese fir ( C.  lanceolata)] 9,  25,  26. The international standardized gene functional annotation system (GO Annotation) provides a powerful way to recognize the functions and properties of sequences that have not been characterized for an organism 27. The BLAST2 GO program was used to categorize the functions of these annotated unigenes, and a total of 22,891 unigenes (47.03% of all of the assembled unigenes) were mapped to at least one GO term. Based on sequence homology, the unigene sequences from  S.  officinalis were categorized into 48 functional groups under three general sections: 59,883 were assigned to the biological process (BP), 43,029 were assigned to the cellular component (CC) and 29,760 were assigned to the molecular function (MF) sections. As a result, cellular process (13,933) and metabolic process (13,423) were the most enriched GO terms in the biological process (BP) section. Regarding the CC section, the cell (8,737) and cell part (8,720) were the most enriched. Within the molecular function (MF) section, binding (13,539) and catalytic activity (11,726) were highly enriched (Fig.  2). These results revealed that the main Gene Ontology (GO) classifications in the annotated unigenes were responsible for metabolism and fundamental biological regulation. These results were similar to previous results with the  S.  miltiorrhiza transcriptome and with the transcriptomes of  O.  sanctum and  O.  basilicum (members of the same family), which have the highest percentages of metabolic process, cellular process, cell, cell part, binding and catalytic activity 28,  29. Moreover, these results are in agreement with previous studies on  de novo transcriptome assembly in the tuberous root of sweet potato,  de novo transcriptome sequencing from  R.  sativus and  de novo characterization of roots from the Chinese medicinal plant  P.  cuspidatum26,  29. The lowest percentage of unigenes categories included channel regulator activity (56), cell junction (28) and cell killing (27). Therefore, the present work suggests that the enormous potential data that exist in the Gene Ontology (GO) classifications can be used to identify the new genes. ","['Supplementary Table', 'Kyoto Encyclopedia', 'KEGG orthology', 'NCBI non-redundant', 'NCBI nucleotide', 'euKaryotic Ortholog', 'Ortholog Groups', 'annotation databases', 'Gene Ontology', 'NCBI']","[48,671, Swiss-Prot, BLAST2, 59,883, 43,029]",[],[],NaN
117,"KEGG pathway database can facilitate the understanding of the functional annotations of enzymes and the biological functions of genes regarding their networks 7,  30. To identify active biological functional pathways in the leaf tissues of  S.  officinalis, all 48,671 unigene sequences were mapped in reference to the canonical pathways of KEGG, but 9,716 (19.96%) unigene sequences could be assigned to 267 KEGG pathways. Furthermore, all transcripts were classified into five larger pathway categories, including cellular processes, environmental information processing, genetic information processing, metabolism and organismal systems (Fig.  3). The highest number of transcripts from  S.  officinalis was assigned to the metabolism category, followed by genetic information processing, organismal systems, and cellular processes, whereas the lowest number of transcripts was related to the category of environmental information processing. Interestingly, 608 transcripts of  S.  officinalis were related to the biosynthesis of various secondary metabolite pathways, which were sorted into 27 subcategories, with phenylpropanoid biosynthesis (ko00940), terpenoid backbone biosynthesis (ko00900) and carotenoid biosynthesis (ko00906) representing the largest subcategories (Supplementary Table  S4). These results were in agreement with previous results from the transcriptomes of  O.  sanctum and  O.  basilicum, which are members of the same family, and from  de novo transcriptome sequencing from  R.  sativus, the transcriptome of which had the highest percentages of phenylpropanoid biosynthesis and terpenoid backbone biosynthesis 6,  9. ","['information processing', 'KEGG pathway', 'KEGG', 'functional annotations', 'biological functions', 'unigene sequences', 'pathway database', 'processing', 'environmental information', 'genetic information']","[48,671]",[],[],NaN
118,"Various types of terpenoids were found in the essential oil extracts of  S.  officinalis. The mixture contained mainly myrcene, (+)-neomenthol, 1,8-cineole, (3S)-linalool, α-humulene/β-caryophyllene, momilactone-A, gibberellin 3, gibberellin 2, ent-copalyl diphosphate, ent-kaurene, ent-kaurenoic acid, ent-isokaurene C2, gibberellin 20, and beta-amyrin. Precursor molecules for terpenoid biosynthesis are derived from the cytosolic mevalonate (MVA) and plastidial methyl-erythritol phosphate (MEP) pathways. Therefore, queries against the Lamiaceae family transcriptome libraries were applied to identify and to determine genes that encode enzymes involved in the different steps of the terpenoid biosynthesis pathway, such as Mevalonate diphosphate decarboxylase, Isopentenyl phosphate kinase, isopentenyl pyrophosphate isomerase for swithing IPP to DMAPP isomerase, GPS (geranyl pyrophosphate synthase), FPS (farnesyl pyrophosphate synthase) and GGPS (geranylgeranyl pyrophosphate synthase) 31,  32. Furthermore, we identified and estimated the expression levels of isoprenoid genes by using uniprot annotations against the transcriptome libraries (Table  2). From the annotation data analyses, we found many transcript genes related to isoprenoid biosynthesis from the MEP pathway with higher expression levels, including gene transcripts such as  SoDXS4, 1(1-deoxy-D-xylulose-5-phosphate synthase 4, 1),  SoDXR (1-deoxy-D-xylulose-5-phosphate reductoisomerase),  SoMCT (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase),  SoISPF (2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase),  SoHDS2 ((E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase 2),  SoHDR2,3 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2, 3) and  SoIDI1 (isopentenyl diphosphate isomerase1). Additionally, we obtained some gene transcripts that were related to isoprenoid biosynthesis from the MVA pathway with higher expression levels, such as  SoAACT1, 4 (acetyl-CoA C-acetyltransferase 1, 4),  SoHMGS (hydroxymethyl glutaryl-CoA synthase),  SoHMGR4, 3, 2 (hydroxymethyl glutaryl-CoA reductase 4, 3, 2)  SoMVK (mevalonate kinase) and  SoPMK (phospho-mevalonate kinase). Moreover, the transcriptome dataset of  S.  officinalis presented other genes, such as  SoGPS,  SoFPS2, and  SoGGPSΙΙ10, which are the immediate precursor of the mono-, sesqui-, and di-terpene biosynthesis pathway. The  SoGPS,  SoFPS2, and  SoGGPSΙΙ10 genes were highly abundant in leaves and had higher values of fragments per kilobase of transcripts per million mapped fragments (FPKM), which were 20.23, 281.11 and 49.23, respectively (Fig.  4 and Table  2). Our results were similar to previously obtained results from the transcriptomes of  O.  sanctum and  O.  basilicum, which are members of the same family and have a higher number of transcripts for the DXS and GPPS genes related to the terpenoid biosynthesis pathway 6. ","['synthase', 'terpenoid biosynthesis', 'pyrophosphate synthase', 'biosynthesis pathway', 'essential oil', 'oil extracts', 'biosynthesis', 'genes', 'pathway', 'gibberellin']","[(3S)-linalool, momilactone-A, gibberellin 3, gibberellin 2, ent-copalyl diphosphate, ent-isokaurene C2, gibberellin 20, Mevalonate diphosphate decarboxylase, isopentenyl pyrophosphate isomerase, DMAPP isomerase, geranyl pyrophosphate synthase, FPS (, farnesyl pyrophosphate synthase, GGPS (, geranylgeranyl pyrophosphate synthase, 1(1-deoxy-D-xylulose-5-phosphate synthase 4, (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase 2, C-acetyltransferase 1, phospho-mevalonate kinase, GPPS]",[],[],NaN
119,"Plants produce various terpenoid compounds with highly diverse structures. These compounds play an important role and function in the interactions with environmental factors and in fundamental biological processes 32,  33. Multiple terpenoids are synthesized in plants by the expression of many TPS genes. Moreover, some TPSs have the ability to catalyse the production of multiple products. Thus, the  TPS gene family was classified according to phylogenetic relationships into eight subfamilies (TPS a, b, c, d, e/f, g, and h), which comprise mono-, sesqui-, di- and triterpene synthases 34. Therefore, the annotation of transcriptome data from  S.  officinalis against the Lamiaceae family and Arabidopsis revealed many terpene synthases involved in the terpenoid biosynthesis pathway, e.g., myrcene, (+)-neomenthol, 1,8-cineole, (3S)-linalool, α-humulene/β-caryophyllene, momilactone-A, gibberellin 3, gibberellin 2, ent-copalyl diphosphate, ent-kaurene, ent-kaurenoic acid, ent-isokaurene C2, gibberellin 20, beta-amyrin and squalene. From the dataset, 65 TPS unigenes were identified and determined based on sequence similarities with a TPS sequence in the canonical annotation reference database. Twenty unigenes were annotated as being involved in monoterpene biosynthesis, including myrcene/ocimene synthase, (+)-neomenthol dehydrogenase, 1,8-cineole synthase, (+)-sabinene synthase and (3S)-linalool synthase, and three other unigenes were annotated as being involved in sesquiterpene biosynthesis, including α-humulene/β-caryophyllene synthase and (−)-germacrene D synthase. Additionally, 29 unigenes were annotated as being involved in diterpene biosynthesis, including momilactone-A synthase, gibberellin 3-beta-dioxygenase, gibberellin 2-oxidase, ent-copalyl diphosphate synthase, ent-kaurene synthase, ent-kaurenoic acid hydroxylase, ent-isokaurene C2-hydroxylase and gibberellin 20-oxidase. Finally, 12 unigenes were annotated as being involved in triterpene biosynthesis, including beta-amyrin synthase, squalene monooxygenase, and farnesyl-diphosphate, but some of these 12 genes showed high abundance in leaves and higher FPKM values (Fig.  4 and Table  3). The previous compounds have significant pharmacological activities, such as anticancer, anti-HIV, antiviral, anti-inflammatory and antibacterial activities. Sesquiterpenoids are similar to triterpenoids as both share the same origin and originate from farnesyl diphosphate (FDP). Triterpenoid compounds originate from the conversion of FDP into squalene by squalene synthase (SQS) and then to (S)-2,3-epoxysqualene by squalene monooxygenase (SQE)]. Subsequently, (S)-2,3-epoxysqualene is converted to beta-amyrin and camelliol C in the presence of multifunctional (S)-2,3-epoxysqualene cyclase via beta-amyrin synthase and camelliol C synthase, respectively. Similar reports about triterpenoid biosynthesis from (S)-2,3-epoxysqualene cyclases are available for  O.  basilicum and  Catharanthus roseus35,  36. ","['synthase', 'TPS', 'diverse structures', 'highly diverse', 'gibberellin', 'involved', 'biosynthesis', 'unigenes', 'squalene', 'Plants produce']","[b,, c, d,, (3S)-linalool, momilactone-A, gibberellin 3, gibberellin 2, ent-copalyl diphosphate, ent-isokaurene C2, gibberellin 20, (+)-neomenthol dehydrogenase, (3S)-linalool synthase, α-humulene/β-caryophyllene synthase, (−)-germacrene D synthase, momilactone-A synthase, gibberellin 3-beta-dioxygenase, gibberellin 2-oxidase, ent-copalyl diphosphate synthase, ent-kaurene synthase, ent-isokaurene C2-hydroxylase, gibberellin 20-oxidase, farnesyl-diphosphate, anti-HIV, FDP, FDP, SQS, squalene monooxygenase, camelliol C, camelliol C synthase]","['TPS', 'TPSs', 'TPS', '(TPS', 'TPS', 'TPS']",[],terpene synthase
