,metadata_json,PMCIDS,ethic,abstract,keywords,yake_keywords,"['number:', 'no.', 'number']_match",terms
30,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8344495\eupmc_result.json,PMC8344495,Ethics approval and consent to participate The COVID-19 number of cases and sequencing data are collected via public domains and thus neither ethical approval nor individual consent is applicable.,NaN,"['Brazil', 'Case Fatality', 'Statistical Modelling', 'Covid-19', 'P.1 Lineage']","['Ethics approval', 'sequencing data', 'public domains', 'ethical approval', 'individual consent', 'approval', 'consent', 'Ethics', 'number', 'applicable']",['of'],NaN
31,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8351029\eupmc_result.json,PMC8351029,Ethics The Regional Ethical Board in Stockholm approved this study (2011/208-31). The part of the study that uses anonymized data from the Swedish Board of Health and Welfare did not require ethical approval (2017/5:1).," Objective The consequences of a low autopsy rate are not considered in determining the cause of death. Method We have analyzed the Cause of Death Register of the Swedish National Board of Health and Welfare since it started 1969 to and including 2016 to visualize the decline in the frequency of clinical autopsies over time and evaluated the effect on the quality of the cause of death diagnoses. Results Over the five decades studied, the frequency of clinical autopsies declined from almost 40% to less than 5%. The rate of decline was not even. Political decisions and changes of healthcare organization in Sweden affected the slope of decline of autopsies superimposed on a linear decline over time reflecting changes in clinical routines. A request of clinical autopsies was highly dependent on the level of care at the time of death, with the lowest number of requests for persons who died in nursing homes. The age at the time of death was a major factor affecting the number of autopsies, resulting in an autopsy rate of less than 1% in the ages where most persons die. Although men were autopsied more often than women, a gender-specific difference was not seen after correction for the age of death. We also found a higher rate of unspecific and irrelevant diagnosis in the cases not autopsied and we know from earlier studies by us and other authors that the cause of death diagnoses were missed in between 30% and 50% of the cases not autopsied. Conclusion The decline in the clinical autopsy rate reduced the value of the death certificate register. An increase in the number of autopsies performed will improve the understanding of disease and cause of death, as well as to better inform next of kin.","['Autopsy', 'Cause of death', 'Gender Differences', 'Forensic Autopsy', 'Age Dependence', 'Autopsy And Level Of Care', 'Death Certificate Errors', 'Clinical Autopsy']","['Stockholm approved', 'Regional Ethical', 'Ethical Board', 'Swedish Board', 'ethical approval', 'Regional', 'Stockholm', '208-31', 'Board', 'require ethical']",[],NaN
32,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8351924\eupmc_result.json,PMC8351924,,Florian Naudet and co-authors propose a pathway involving registered criteria for evaluation and approval of new drugs.,NaN,[],[],NaN
33,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8358494\eupmc_result.json,PMC8358494,," Objectives There is little evidence of insomnia treatment, especially exit strategies for hypnotics. We examined on the characteristics of patients who were able to switch from benzodiazepine hypnotics to lemborexant. Methods Insomnia was assessed using the Athens Insomnia Scale. Efficacy outcome assessment was the Clinical Global Impressions-Improvement scale. Results Eighty patients switched from benzodiazepine hypnotic monotherapy to lemborexant and 57 patients who continued the use of benzodiazepine hypnotics. The switched group had a significantly lower benzodiazepine hypnotic diazepam equivalent and a significantly shorter dosing period than the continued group ( p   p   Conclusion Our findings suggest that when administering benzodiazepine hypnotics, shortening the administration period, as much as possible, allows a smooth switch to safe long-term maintenance therapy using lemborexant, without exacerbating insomnia.","['Insomnia', 'efficacy', 'Switching', 'Lemborexant', 'Benzodiazepine Hypnotics']",[],[],NaN
34,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8361036\eupmc_result.json,PMC8361036,"Ethical approval Research studies involving patients require ethical approval. Please state whether approval has been given, name the relevant ethics committee and the state the reference number for their judgement. No ethical approval was needed. Ethical approval This is retrospective cohort study. Ethical approval not needed. Trial registry number. 1.Name of the registry: Research Registry.2.Unique Identifying number or registration ID: Research registry 6952 https://www.researchregistry.com/browse-the-registry#home/registrationdetails/60e4866179ebc8001f90c2b3."," Objectives This study was aimed to identify the number, shape and distribution of megakaryocytes and to recognize blast cells and its location.Further, to identify presence of fibrosis or increased microvascularity.Also,study correlation between histological findings. Methods A retrospective was conducted between January 2016 to December 2018 at al-mouwasat university hospital. A total of 44 cases of myeloproliferative disorders using H&E and IHC stains were studied.Chi-square test was performed with descriptive statistics. Results Most of our patients were men younger than 75 years of age. 40 was the most prevalent as a median number of megakaryocytes in bone marrow biopsy with normal shape and diffuse pattern, most of biopsies were fibrotic, paratrabecular pattern and absent of hemosiderin deposits that correlate significantly to women patients.Minimal blast cells were more common with diffuse pattern. Conclusion Bone marrow biopsy is a useful investigation in myeloproliferative disorders. Evaluation of megakaryopoiesis, fibrosis, and localization of blasts are possible on a bone marrow biopsy.","['Chronic myeloid leukemia', 'Polycythemia vera', 'Myeloproliferative Disorders', 'Essential Thrombocytosis', 'Marrow Fibrosis']","['Ethical approval', 'studies involving', 'involving patients', 'patients require', 'approval', 'Ethical', 'Research studies', 'Research', 'require ethical', 'approval Research']","['for', '1.Name', 'or']",NaN
35,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8364148\eupmc_result.json,PMC8364148,Ethical approval The authors declare No ethical approval required. Ethical approval for this type of study is not required by our institution.," Aims The Coronavirus (COVID-19) is a global pandemic requiring global responses. The objective of this paper is to identify the common factors of COVID-19 cases and deaths among the 50 most affected countries. Methods We performed Ordinary least squares among a wide range of socio-economic, environmental, climatic and health indicators to explain the number of cases and deaths. Results The findings are: (i) obesity is the only significant global denominator for the number of COVID-19 cases and deaths; (ii) the percentage of the population over the age of 65 and number of hospital beds per 1000 population inversely correlated to mortality from COVID-19. Conclusions Obesity increases vulnerability to COVID-19 infections and mortality. Global awareness of obesity and social investment in health infrastructure are pre-requisite for a pandemic adaptive future. However, the study is limited to cross-sectional data of April 17, 2020.","['Obesity', 'Infectious disease', 'Diabetes', 'Pandemic', 'Covid-19']","['Ethical approval', 'authors declare', 'Ethical', 'approval', 'approval required', 'required', 'authors', 'declare', 'institution', 'type']",[],NaN
36,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8364931\eupmc_result.json,PMC8364931,ETHICAL APPROVAL Data contained were obtained through routine clinical care and for a diagnosis and treatment purposes. No ethical approval was recommended.,Malignant arrhythmias during coronary angiography consist a complication of the procedure. Clinicians should be aware that intracoronary infusion of contrast medium can lead to physiological changes that lower the ventricular fibrillation threshold.,"['Coronary angiography', 'Ventricular fibrillation', 'Contrast Medium', 'J Waves']","['Data contained', 'APPROVAL Data', 'ETHICAL APPROVAL', 'treatment purposes', 'routine clinical', 'clinical care', 'Data', 'ETHICAL', 'APPROVAL', 'purposes']",[],NaN
37,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8366090\eupmc_result.json,PMC8366090,"ETHICS STATEMENT As all data were publicly available, no ethics approval was sought."," Background It has been suggested that the results from fragile trials are less likely to translate into benefit in routine clinical practice. Methods We searched the Food and Drug Administration (FDA) archives to identify drug approvals for solid organ malignancies between 2010 and 2019. We calculated the Fragility Index (FI) supporting each approval, using methods to account for time-to-event. We compared FI and trial and approval characteristics using Mann-Whitney U and Kruskal-Wallis test. Using logistic regression, we examined study characteristics associated with withdrawal of consent or lost to follow-up (WCLFU) exceeding the calculated FI. Results The median FI among 125 included studies was 23 (range 1-322). The FI was ≤10 in 35 studies (28%), 11-20 in 21 (17%), and >20 in 69 (55%). The median FI/Nexp was 7.7% (range 0.1-51.7%). The median FI was significantly lower among approvals processed through the accelerated vs regular pathway (5.5 vs 25, p = 0.001), but there was no difference in median FI/Nexp. The WCLFU exceeded FI in 42% of studies. Overall survival endpoints were more likely to have a WCLFU exceeding FI (OR 3.16, p = 0.003). WCLFU exceeding FI was also associated with a lesser magnitude of effect (median HR 0.69 vs 0.55, p  FI. Conclusion The median FI among all trials was 23, and WCLFU exceeded FI in 42%. Comparative trials in solid tumors supporting approval through the accelerated pathway are more fragile compared to trials approved through the regular pathway, an observation likely explained by a lower sample size in the experimental arm.","['Fda Approvals', 'Accelerated Approvals', 'Fragility Index', 'Trial Robustness']","['ETHICS STATEMENT', 'ethics approval', 'ETHICS', 'STATEMENT', 'sought', 'data', 'publicly', 'approval']",[],NaN
38,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8380514\eupmc_result.json,PMC8380514,,NaN,NaN,[],[],NaN
39,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8381138\eupmc_result.json,PMC8381138,," Background The Covid-19 pandemic has so far infected more than 30 million people in the world, having major impact on global health with collateral damage. In Mozambique, a public state of emergency was declared at the end of March 2020. This has limited people's movements and reduced public services, leading to a decrease in the number of people accessing health care facilities. An implementation research project, The Alert Community for a Prepared Hospital, has been promoting access to maternal and child health care, in Natikiri, Nampula, for the last four years. Nampula has the second highest incidence of Covid-19. The purpose of this study is to assess the impact of Covid-19 pandemic Government restrictions on access to maternal and child healthcare services. We compared health centres in Nampula city with healthcare centres in our research catchment area. We wanted to see if our previous research interventions have led to a more resilient response from the community. Methods Mixed-methods research, descriptive, cross-sectional, retrospective, using a review of patient visit documentation. We compared maternal and child health care unit statistical indicators from March-May 2019 to the same time-period in 2020. We tested for significant changes in access to maternal and child health services, using KrushKall Wallis, One-way Anova and mean and standard deviation tests. We compared interviews with health professionals, traditional birth attendants and patients in the two areas. We gathered data from a comparable city health centre and the main city referral hospital. The Marrere health centre and Marrere General Hospital were the two Alert Community for a Prepared Hospital intervention sites. Results Comparing 2019 quantitative maternal health services access indicators with those from 2020, showed decreases in most important indicators: family planning visits and elective C-sections dropped 28%; first antenatal visit occurring in the first trimester dropped 26%; hospital deliveries dropped a statistically significant 4% (p = 0.046), while home deliveries rose 74%; children vaccinated down 20%. Conclusion Our results demonstrated the negative collateral effects of Covid-19 pandemic Government restrictions, on access to maternal and child healthcare services, and highlighted the need to improve the health information system in Mozambique.","['Maternal Health', 'Mozambique', 'Adolescent Health', 'Health Services Access', 'Children Health', 'Covid-19', 'Nampula']",[],[],NaN
40,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8381715\eupmc_result.json,PMC8381715,," Purpose To evaluate the potential opportunities and possible competitiveness of Avatera robotic system (ARS) (Avateramedical, Germany), and perform predictive cost-analysis for its implementation and dissemination. Material and methods Our study employed a projective quantitative research design. SWOT (strengths, weaknesses, opportunities, threats) analysis was used to map ARS internal competencies towards external contexts, and potential opportunities and risks in the robotic market. The ARS purchase and procedural costs were evaluated in two different scenarios. Results In the first scenario, setting the purchase cost of the Avatera at around $1.3-1.5 million, a total $400 procedural cost reduction compared to the RAS performed with the da Vinci Xi can be calculated. In the second scenario, with a purchase cos of the ARS of $700.000-800.000 and considering a 5-year period with an annual ARS volume of 500 procedures, only an additional $300 will be attributed to the robot itself. Our projections revealed that for an effective competition the purchase cost of ARS should range between $700.000 and $800.000 during the initial phase of market entry. The marketing strategy of the ARS should be oriented towards countries without any robotic system in operational use, followed by countries where the competition intensity in the marketplace is low. Conclusion The introduction of new robotic systems will greatly affect and reshape the market of robotic surgery. The ARS has all the technical capacity ensuring the performance of high-quality surgical procedures. A fast spread and implementation of the ARS could be expected should the purchase and maintenance costs be kept low.","['Cost Analysis', 'Da Vinci', 'Robot-assisted Surgery', 'Swot Analysis', 'Business Modeling', 'Avatera Robotic System']",[],[],NaN
41,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8387920\eupmc_result.json,PMC8387920,"2.3 Ethical consideration Institutional Review Board (IRB) approval were obtained from the ethics committee in the German medical association (Ärztekammer) (EK/CH/AU/June 1, 2015). All patients have signed the informed consent before enrolling in this study. In accordance with the declaration of Helsinki, the research was registered at  ResearchRegistry.com with unique identifying number (researchregistry6769) [ 59]. This study written under STROCSS 2019 Guideline [ 58]. Ethical approval Research studies involving patients require ethical approval. Please state whether approval has been given, name the relevant ethics committee and the state the reference number for their judgement. Institutional Review Board (IRB) approval were obtained from the ethics committee in the German medical association (Ärztekammer) (EK/CH/AU/June 1, 2015)."," Objectives Testosterone therapy (TTh) is the main treatment for elderly men with hypogonadism. No evidence of the long-term effectiveness of TTh on renal function is reported to date. Methods In this study, we evaluated the long-term TTh of testosterone undecanoate (TU) administration on renal function parameters in 496 symptomatic hypogonadal men, with T levels ≤350 ng/dL. The treatment group (T-group) consisted of 312 patients and obtained TU 1000 mg for 12 weeks followed by 6-week intervals and for up to 8 years. The remaining 184 hypogonadal men, who opted against TTh, served as a control group (C-group). The two groups were similar in criteria prior to treatment. We evaluated renal function by calculating serum creatinine, urea, uric acid, and glomerular filtration rate (GFR) according to Mayo Clinic guidelines for 8 years. This study obeys the ethical guidelines of German medical association according to Section 15 of the Professional Code, document for AY- Ref. EK/CH/AU signed on Jun 2015. Results During the study period, the T-group exhibited lower levels of urea (47.0 ± 11.8 to 34.0 ± 13.9 mg/dL), uric acid (6.57 ± 1.2 to 5.49 ± 1.5 mg/dL), serum creatinine (0.90 ± 0.10 to 1.12 ± 0.9 mg/dL), and higher-level in GFR (87.0 ± 12.9 to 98.0 ± 8.0 mL/min/1.73 m 2 ), which were significant. Alternatively, the C-group exhibited an increase in their serum creatinine (1.16 ± 0.31 to 1.19 ± 0.58 mg/dL), an increase in uric acid (5.54 ± 1.2 to 5.44 ± 1.7 mg/dL), and a decrease in GFR (92.0 ± 20.1 to 87.0 ± 26.1 mL/min/1.73 m 2 ). A total of 25 deaths (7.8%) was recorded in the T-group, among them 11 (44%) were cardiovascular. On the other hand, 28 patients (15.2%) died in C-group and all deaths (100%) were found to cardiovascular causes. Conclusion The results suggest that long-term TTh could improve renal function in hypogonadal men comparing to slight deterioration observed in patients without intervention. In addition to reduce mortality in cardiovascular patients, almost to the half.","['Men', 'Hypogonadism', 'Renal function', 'Testosterone Therapy']","['Review Board', 'Institutional Review', 'German medical', 'Ethical consideration', 'consideration Institutional', 'ethics committee', 'Ethical approval', 'approval', 'medical association', 'IRB']","['(researchregistry6769)', 'for']",NaN
42,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8394605\eupmc_result.json,PMC8394605,"3.1. Ethics and Consent The study was carried out with the approval of the local ethics committee (approval no. 13-01-31/proj6) and in accordance with the revised guidelines of the Declaration of Helsinki. Patients gave signed consent after being informed about the objective of the study. Subjects were recruited according to the screening programme protocol, which uses a systematic technique."," Background The aim of the present study was to test our deep learning algorithm (DLA) by reading the retinographies. Methods We tested our DLA built on convolutional neural networks in 14,186 retinographies from our population and 1200 images extracted from MESSIDOR. The retinal images were graded both by the DLA and independently by four retina specialists. Results of the DLA were compared according to accuracy (ACC), sensitivity (S), specificity (SP), positive predictive value (PPV), negative predictive value (NPV), and area under the receiver operating characteristic curve (AUC), distinguishing between identification of any type of DR (any DR) and referable DR (RDR). Results The results of testing the DLA for identifying any DR in our population were: ACC = 99.75, S = 97.92, SP = 99.91, PPV = 98.92, NPV = 99.82, and AUC = 0.983. When detecting RDR, the results were: ACC = 99.66, S = 96.7, SP = 99.92, PPV = 99.07, NPV = 99.71, and AUC = 0.988. The results of testing the DLA for identifying any DR with MESSIDOR were: ACC = 94.79, S = 97.32, SP = 94.57, PPV = 60.93, NPV = 99.75, and AUC = 0.959. When detecting RDR, the results were: ACC = 98.78, S = 94.64, SP = 99.14, PPV = 90.54, NPV = 99.53, and AUC = 0.968. Conclusions Our DLA performed well, both in detecting any DR and in classifying those eyes with RDR in a sample of retinographies of type 2 DM patients in our population and the MESSIDOR database.","['Diabetic retinopathy', 'Diabetic Retinopathy Screening', 'Convolutional Neural Networks', 'Deep Learning Algorithm']","['ethics committee', 'local ethics', 'Consent', 'Ethics', 'approval', 'study', 'signed consent', 'Helsinki', 'Declaration', 'revised guidelines']",['13-01-31/proj6)'],NaN
43,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8401350\eupmc_result.json,PMC8401350,,NaN,NaN,[],[],NaN
44,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8411484\eupmc_result.json,PMC8411484,"Ethics approval and consent to participate Samples were collected with the approval from the Institutional Review Board of Radjavithi Hospital, Bangkok (approval no. 59194 date of approval, 17th November 2016). Written informed consent was obtained from all subjects prior to inclusion in the study. Written informed consent from the parents or legal guardians of all subjects under the age of 18 was also obtained.","Non-invasive prenatal diagnosis (NIPD) of isolated cell-free DNA from maternal plasma has been applied to detect monogenic diseases in the fetus. Droplet digital PCR (ddPCR) is a sensitive and quantitative technique for NIPD. In the present study, the development and evaluation of ddPCR-based assays for common α and β-thalassemia variants amongst the Asian population was described; specifically, Southeast Asian (SEA) deletion, HbE, and 41/42 (-CTTT). SEA is caused by deletion of a 20 kb region surrounding the α-globin gene, whilst HbE and 41/42 (-CTTT) are caused by point mutations on the β-globin gene. Cell-free DNA samples from 46 singleton pregnant women who were carriers of these mutations were isolated and quantified using ddPCR with specially designed probes for each target allele. Allelic copy number calculation and likelihood ratio tests were used to classify fetal genotypes. Classification performances were evaluated against ground truth fetal genotypes obtained from conventional amniocentesis. Copy number variation analysis of SEA deletion accurately classified fetal genotypes in 20 out of 22 cases with an area under the receiver operating characteristic curve of 0.98 for detecting Hb Bart's hydrops fetalis. For HbE cases, 10 out of 16 samples were correctly classified, and three were inconclusive. For 41/42 (-CTTT) cases, 2 out of 8 were correctly classified, and four were inconclusive. The correct genotype was not rejected in any inconclusive case and may be resolved with additional ddPCR experiments. These results indicate that ddPCR-based analysis of maternal plasma can become an accurate and effective NIPD for SEA deletion α-(0) thalassemia. Although the performance of ddPCR on HbE and 41/42 (-CTTT) mutations were not sufficient for clinical application, these results may serve as a foundation for future works in this field.","['β-thalassemia', 'α-thalassemia', 'Cell-free Fetal Dna', 'Droplet Digital Pcr', 'Non-invasive Prenatal Test']","['Radjavithi Hospital', 'Institutional Review', 'Review Board', 'participate Samples', 'Ethics approval', 'Written informed', 'Bangkok', 'November', 'approval', 'Hospital']",['59194'],NaN
45,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8412441\eupmc_result.json,PMC8412441,," Background To assess the effectiveness of preemptive analgesia in dental implant surgery in randomized controlled trials (RCTs). Material and methods The present study was conducted in accordance with the guidelines of the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement and registered in PROSPERO database CRD42020168757. A search without restrictions regarding language or date of publication was conducted in six databases and gray literature. A random effect meta-analysis compared the efficacy of preemptive analgesia compared to placebo through pooled OR and 95%CI. The interpretation of results followed the certainty of evidence using the Grading of Recommendations, Assessment, Development and Evaluation (GRADE) approach together with the magnitude of the effect according to GRADE guidelines. Results Four studies were included in the review and three were incorporated into the meta-analysis. All studies demonstrated that preemptive analgesia contributed to a significant improvement in the postoperative pain control. However, the overall pooled standard mean difference (SMD) showed that preemptive analgesia had small effects compared to placebo in reducing pain (SMD: -0.45; IC: -0.83; -0.08) with low certainty of the evidence. Our meta-analysis showed that the magnitude of the effect was bigger six to eight hours after the surgery (large effect), compared to the time of one to two hours after the surgery (small effect). Conclusions Preemptive analgesia may have a positive effect in reducing pain compared to not using preemptive medication, but the evidence is very uncertain.",NaN,[],[],NaN
46,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8416771\eupmc_result.json,PMC8416771,"Ethics Statement The studies involving human participants were reviewed and approved by Comitato Etico Regionale per la Sperimentazione Clinica della Regione Toscana, Sezione AREA VASTA CENTRO. The patients/participants provided their written informed consent to participate in this study."," Purpose:  To evaluate the potential confounding effect of concomitant pneumonia (PNM) on lung ultrasound (LUS) B-lines in acute heart failure (AHF).  Methods:  We enrolled 86 AHF patients with (31 pts, AHF/PNM) and without (55 pts, AHF) concomitant PNM. LUS B-lines were evaluated using a combined antero-lateral (AL) and posterior (POST) approach at admission (T0), after 24 h from T0 (T1), after 48 h from T0 (T2) and before discharge (T3). B-lines score was calculated at each time point on AL and POST chest, dividing the number of B-lines by the number of explorable scanning sites. The decongestion rate (DR) was calculated as the difference between the absolute B-lines number at discharge and admission, divided by the number of days of hospitalization. Patients were followed-up and hospital readmission for AHF was considered as adverse outcome.  Results:  At admission, AHF/PNM patients showed no difference in AL B-lines score compared with AHF patients [AHF/PNM: 2.00 (IQR: 1.44-2.94) vs. AHF: 1.65 (IQR: 0.50-2.66),  p  = 0.072], whereas POST B-lines score was higher [AHF/PNM: 3.76 (IQR: 2.70-4.77) vs. AHF = 2.44 (IQR: 1.20-3.60),  p   p  = 0.022] and not POST B-lines score was found to predict adverse events (AHF rehospitalization) after a median follow-up of 96 days (IQR: 30-265) in the overall population.  Conclusions:  Assessing AL B-lines alone is adequate for diagnosis, pulmonary congestion (PC) monitoring and prognostic stratification in AHF patients, despite concomitant PNM.","['Prognosis', 'Pneumonia', 'Acute Heart Failure', 'Lung Ultrasound', 'B-lines', 'Pulmonary Congestion']","['Regione Toscana', 'Sezione AREA', 'VASTA CENTRO', 'Comitato Etico', 'Etico Regionale', 'Sperimentazione Clinica', 'AREA VASTA', 'Ethics Statement', 'Clinica della', 'della Regione']",[],NaN
47,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8417334\eupmc_result.json,PMC8417334,,"The debate regarding the possibility of the Law on the Ratification of International Treaty that can be reviewed always raises pros and cons. With normative research methodology, this research examines the urgency of a constitutional preview of the Law on the Ratification of International Treaty by the Constitutional Court in Indonesia. The importance of the law on the results of international treaty ratification to be tested is to ensure that its substance does not contradict the 1945 Constitution of the Republic of Indonesia. The involvement of the Constitutional Court in conducting a constitutional preview before the parliament will provides the Court's opinion regarding the constitutionality of international agreements can be taken into consideration for the parliament to provide approval or not against international treaties that will be ratified by law.","['Constitutional Court', 'International Treaty', 'Constitutional Preview']",[],[],NaN
48,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8419977\eupmc_result.json,PMC8419977,ethics approval No ethics approval was sought for this review of publicly available information.," Background Essential medicines lists (EMLs) are intended to reflect the priority health care needs of populations. We hypothesized that biologic disease-modifying antirheumatic drugs (DMARDs) are underrepresented relative to conventional DMARDs in existing national EMLs. We aimed to survey the extent to which biologic DMARDs are included in EMLs, to determine country characteristics contributing to their inclusion or absence, and to contrast this with conventional DMARD therapies. Methods We searched 138 national EMLs for 10 conventional and 14 biologic DMARDs used in the treatment of childhood rheumatologic diseases. Via regression modelling, we determined country characteristics accounting for differences in medicine inclusion between national EMLs. Results Eleven countries (7.97%) included all 10 conventional DMARDs, 115 (83.33%) ≥5, and all countries listed at least one. Gross domestic product (GDP) per capita was associated with the total number of conventional DMARDs included (β 1 1.02 [95% CI 0.39, 1.66]; P = 0.00279). Among biologic DMARDs, 3 countries (2.2%) listed ≥10, 15 (10.9%) listed ≥5, and 47 (34.1%) listed at least one. Ninety-one (65.9%) of countries listed no biologic DMARDs. European region (β 1  1.30 [95% CI 0.08, 2.52]; P = 0.0367), life expectancy (β 1 -0.70 [95% CI -1.22, - 0.18]; P = 0.0085), health expenditure per capita (β 1  1.83 [95% CI 1.24, 2.42]; P  1  0.70 [95% CI 0.33, 1.07]; P  Conclusion Biologic DMARDs are excluded from most national EMLs. By comparison, conventional DMARDs are widely included. Countries with higher health spending and longer life expectancy are more likely to list biologics.","['Pediatrics', 'World Health Organization', 'Biologics', 'Rare Disease', 'Disease-modifying Antirheumatic Drugs (Dmards)', 'Essential Medicines Lists']","['ethics approval', 'ethics', 'approval', 'information', 'sought', 'review', 'publicly']",[],NaN
49,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8421780\eupmc_result.json,PMC8421780,Ethics Ethical approval No 318-20.," Purpose To study the effect of intravesical Botox injection on the incidence of recurrent symptomatic UTI in neurogenic bladder patients with detrusor overactivity. Patients and methods This was a prospective cohort study for patients who received Botox intravesical injection. We included patients with neurogenic bladder with detrusor overactivity and symptomatic recurrent UTI. We compared the number of symptomatic UTIs at six months pre- and post-intravesical Botox injection. Patient files were reviewed for diagnosis, vesico-uretric reflux, hydronephrosis, urodynamic findings pre- and post-injection, and dose of Botox used. Patients were followed for the number of symptomatic UTIs post-Botox injection. Results There were 93 patients diagnosed with neurogenic detrusor overactivity and symptomatic recurrent UTI. Patients were categorized into three categories: Group 1 - adults, Group 2 - pediatrics, Group 3 - non-neurogenic neurogenic bladder (Hinman's syndrome). Spina bifida was diagnosed in 22 adults (Group 1) and 32 pediatric patients (Group 2). After receiving Botox injection, 75% of all patients (70) had a significant decrease in number of symptomatic UTIs. Urodynamic tests post-injection showed an improvement in bladder capacity, compliance, and detrusor pressure versus baseline in all three groups. Correlation analysis showed significant correlation between decreased symptomatic UTI post-Botox injection and detrusor pressure post-injection as well as bladder compliance;  p -value=0.01 and  p =0.021, respectively. Conclusion Intravesical Botox injection may decrease incidence of symptomatic UTI in neurogenic detrusor overactivity. This effect seemed to be related to better bladder management.","['Neurogenic Bladder', 'Neurogenic Detrusor Overactivity', 'Symptomatic Urinary Tract Infections', 'Recurrent Uti', 'Intravesical Botox Injections']","['Ethics Ethical', 'Ethical approval', 'Ethical', 'Ethics', '318-20', 'approval']",[],NaN
50,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8422310\eupmc_result.json,PMC8422310,Ethics statements Patient consent for publication Not required.," Introduction Diabetes is common (about 20 million patients in Europe) and patients with diabetes have more surgical interventions than the general population. There are plausible pathophysiological and clinical mechanisms suggesting that patients with diabetes are at an increased risk of postoperative complications. When postoperative complications occur in the general population, they increase major adverse events and subsequently increase 1-year mortality. This is likely to be worse in patients with diabetes. There is variation in practice guidelines in different countries in the perioperative management of patients with diabetes undergoing major surgery and whether this may affect postoperative outcome has not been investigated on a large scale. Neither is it known whether different strata of preoperative glycaemic control affects outcome. Methods and analysis A prospective, observational, international, multicentre cohort study, recruiting 5000 patients with diabetes undergoing elective or emergency surgery in at least n=50 centres. Inclusion criteria are any patient with diabetes undergoing surgery under any substantive anaesthetic technique. Exclusion criteria are not being a confirmed diabetic patient and patients with diabetes undergoing procedures under monitored sedation or local anaesthetic infiltration only. Follow-up duration is 30 days after surgery. Primary outcome is days at home at 30 days. Secondary outcomes are Comprehensive Complications Index, Quality of Recovery (QoR-15) score on Day 1 postoperatively, 30-day mortality, length of hospital stay and incidence of specific major adverse events (Myocardial Infarction (MI), Myocardial Injury after Non-cardiac Surgery (MINS), Acute Kidney Injury (AKI), Postoperative Pulmonary Complications (PPC), Cerebrovascular Accident (CVA), Pulmonary Embolism (PE), DVT, surgical site infection, postoperative pulmonary infection). Tertiary outcomes include time to resumption of normal diabetes therapy, incidence of diabetic ketoacidosis or hypoglycaemia, incidence and duration of use of intravenous insulin infusion therapy and change in diabetic management at 30 days. Ethics and dissemination This study will adhere to the principles of the Declaration of Helsinki (amendment 2013) by the World Medical Association and the ICH-Good Clinical Practice (GCP) Guidelines E6(R2). Specific national and local regulatory authority requirements will be followed as applicable. Ethical approval has been granted by the Institutional Review Board of the Mater Misericordiae University Hospital, Dublin, Ireland (Reference: 1/378/2167). As enrolment for this study is ongoing, ethical approval from additional centres is being added continuously. The main results of Management and Outcomes of Perioperative Care among European Diabetic Patients and its substudies will be published in peer-reviewed international medical journals and presented at Euroanaesthesia congress and other international and national meetings. Trial registration number NCT04511312.","['Surgery', 'Diabetes & Endocrinology', 'Adult Anaesthesia']","['statements Patient', 'Patient consent', 'Ethics statements', 'Patient', 'Ethics', 'required', 'statements', 'consent', 'publication']",[],NaN
