,metadata_json,PMCIDS,ethic,abstract,keywords,yake_keywords,"['number:', 'no.', 'No.', 'number']_match",terms
515,C:\Users\shweata\ethics_statement_2000_generic\PMC7941704\eupmc_result.json,PMC7941704,," Background Critical Incident Reporting Systems (CIRS) provide a well-proven method to identify clinical risks in hospitals. All professions can report critical incidents anonymously, low-threshold, and without sanctions. Reported cases are processed to preventive measures that improve patient and staff safety. Clinical ethics consultations offer support for ethical conflicts but are dependent on the interaction with staff and management to be effective. The aim of this study was to investigate the rationale of integrating an ethical focus into CIRS. Methods A six-step approach combined the analysis of CIRS databases, potential cases, literature on clinical and organizational ethics, cases from ethics consultations, and experts' experience to construct a framework for CIRS cases with ethical relevance and map the categories with principles of biomedical ethics. Results Four main categories of critical incidents with ethical relevance were derived: (1) patient-related communication; (2) consent, autonomy, and patient interest; (3) conflicting economic and medical interests; (4) staff communication and corporate culture. Each category was refined with different subcategories and mapped with case examples and exemplary related ethical principles to demonstrate ethical relevance. Conclusion The developed framework for CIRS cases with its ethical dimensions demonstrates the relevance of integrating ethics into the concept of risk-, quality-, and organizational management. It may also support clinical ethics consultations' presence and effectiveness. The proposed enhancement could contribute to hospitals' ethical infrastructure and may increase ethical behavior, patient safety, and employee satisfaction.","['risk management', 'Categorization', 'Quality Management', 'Healthcare', 'Cirs', 'Ethics Management']",[],[],NaN
516,C:\Users\shweata\ethics_statement_2000_generic\PMC7941875\eupmc_result.json,PMC7941875,,Assessment of a new diagnostic test must be performed against an acceptable and validated standard to allow comparison with other studies. We are concerned that the adoption of lower diagnostic criteria in this paper has contributed to an over-diagnosis of prosthetic joint infection and makes interpretation of the results difficult.,"['Histology', 'Diagnosis', 'Prosthetic Joint Infection', 'Synovial Fluid Culture']",[],[],NaN
517,C:\Users\shweata\ethics_statement_2000_generic\PMC7942149\eupmc_result.json,PMC7942149,Ethics statement/confirmation of patientsâ€™ permission Ethics approval not required. No identifying details.,NaN,[],"['Ethics statement', 'permission Ethics', 'Ethics approval', 'Ethics', 'statement', 'confirmation', 'patientsâ', 'permission', 'required', 'approval']",[],NaN
518,C:\Users\shweata\ethics_statement_2000_generic\PMC7942197\eupmc_result.json,PMC7942197,Ethics Statement  The studies involving human participants were reviewed and approved by the Ethics Committee of the Union Hospital of Fujian Medical University. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual for the publication of any potentially identifiable images or data included in this article.,"Chronic inflammation of the male genital tract is thought to be a primary etiological factor of male infertility. The abundance and activation of macrophages and dendritic cells in patients with chronic inflammation of genital tract were closely associated with oligozoospermia and asthenospermia. Chronic epididymitis appears to be more important than seminal vesiculitis or prostatitis due to the direct interaction between spermatozoa and epididymal inflammatory cells. In this study, we present a case report of a 41-year-old male with oligoasthenospermia and chronic epididymitis. Hematoxylin-eosin staining and immunofluorescence analyses showed that antigen presenting cells including macrophages and dendritic cells were found capturing spermatozoa in the lumen of cauda epididymis. To our knowledge, this is the first case report that directly observed dendritic cells capturing spermatozoa in the lumen of an inflamed epididymis. This finding directly explains chronic epididymitis as the possible cause of oligospermia in patients.","['Macrophages', 'Dendritic cells', 'Chronic Epididymitis', 'Oligozoospermia And Asthenospermia', 'Chronic Inflammation Of Genital Tract (Cigt)']","['Medical University', 'Union Hospital', 'Fujian Medical', 'Ethics Statement', 'Ethics Committee', 'studies involving', 'involving human', 'human participants', 'Ethics', 'written informed']",[],NaN
519,C:\Users\shweata\ethics_statement_2000_generic\PMC7942398\eupmc_result.json,PMC7942398,ETHICS STATEMENT A signed informed consent was obtained from the patient and attached to this manuscript.,NaN,[],"['ETHICS STATEMENT', 'ETHICS', 'signed informed', 'informed consent', 'STATEMENT', 'manuscript', 'signed', 'informed', 'consent', 'obtained']",[],NaN
520,C:\Users\shweata\ethics_statement_2000_generic\PMC7942511\eupmc_result.json,PMC7942511,Ethics Statement The retrospective study involving human participants was reviewed and approved by the Medical Research Ethics Committee of West China Hospital. The written informed consent of patients/participants were waived in this study.," Background Tetralogy of Fallot (TOF) is a type of congenital cardiac disease with pulmonary artery (PA) stenosis being the most common defect. Repair surgery needs an appropriate patch to enlarge the narrowed artery from the right ventricular (RV) to the PA. Methods In this work, we proposed a generative adversarial networks (GANs) based method to optimize the patch size, shape, and location. Firstly, we built the 3D PA of patients by segmentation from cardiac computed tomography angiography. After that, normal and stenotic areas of each PA were detected and labeled into two sub-images groups. Then a GAN was trained based on these sub-images. Finally, an optimal prediction model was utilized to repair the PA with patch augmentation in the new patient. Results The fivefold cross-validation (CV) was performed for optimal patch prediction based on GANs in the repair of TOF and the CV accuracy was 93.33%, followed by the clinical outcome. This showed that the GAN model has a significant advantage in finding the best balance point of patch optimization. Conclusion This approach has the potential to reduce the intraoperative misjudgment rate, thereby providing a detailed surgical plan in patients with TOF.","['Pulmonary artery', 'Tetralogy of Fallot', 'patch', 'Cardiac Ct', 'Generative Adversarial Networks']","['China Hospital', 'Medical Research', 'West China', 'Ethics Statement', 'Research Ethics', 'Ethics Committee', 'involving human', 'Hospital', 'retrospective study', 'study involving']",[],NaN
521,C:\Users\shweata\ethics_statement_2000_generic\PMC7942989\eupmc_result.json,PMC7942989,,"The development of digital solutions is becoming increasingly important in facing global challenges. Therefore, research on this topic is important in taking into account cardiac patients' experiences of the rehabilitation process for the design of digital counseling solutions. The aim of the present qualitative study was to explore the different meanings that patients give to the rehabilitation process using a Glaserian grounded theory (GT) approach. Qualitative interviews were conducted with 30 participants from a rehabilitation center in Finland. The findings indicated a ""complex trust-building process"" core category comprising five categories of trust-building in rehabilitation: feeling that one has hit rock bottom, facing and coping in a crosscurrent, understanding together as a peer group, moving toward a healthier lifestyle with technology, and finding self-awareness. The complex process of trust-building involved interactions among emotion, cognition, and acceptance and support processes. Therefore, digital rehabilitation should be incorporated into counseling based on patients' psychosocial, physical and emotional needs to help patients become aware of their own feelings and thoughts during the rehabilitation process.",[],[],[],NaN
522,C:\Users\shweata\ethics_statement_2000_generic\PMC7942994\eupmc_result.json,PMC7942994,,"Investigation of the mechanisms responsible for aggressive neuroblastoma and its poor prognosis is critical to identify novel therapeutic targets and improve survival. Enhancer of Zeste Homolog 2 (EZH2) is known to play a key role in supporting the malignant phenotype in several cancer types and knockdown of EZH2 has been shown to decrease tumorigenesis in neuroblastoma cells. We hypothesized that the EZH2 inhibitor, GSK343, would affect cell proliferation and viability in human neuroblastoma. We utilized four long-term passage neuroblastoma cell lines and two patient-derived xenolines (PDX) to investigate the effects of the EZH2 inhibitor, GSK343, on viability, motility, stemness and in vivo tumor growth. Immunoblotting confirmed target knockdown. Treatment with GSK343 led to significantly decreased neuroblastoma cell viability, migration and invasion, and stemness. GSK343 treatment of mice bearing SK-N-BE(2) neuroblastoma tumors resulted in a significant decrease in tumor growth compared to vehicle-treated animals. GSK343 decreased viability, and motility in long-term passage neuroblastoma cell lines and decreased stemness in neuroblastoma PDX cells. These data demonstrate that further investigation into the mechanisms responsible for the anti-tumor effects seen with EZH2 inhibitors in neuroblastoma cells is warranted.",[],[],[],NaN
523,C:\Users\shweata\ethics_statement_2000_generic\PMC7943014\eupmc_result.json,PMC7943014,,"The study aimed to identify the effects of situational (match location, match outcome and strength of team/opponent team) and environmental (ambient temperature, relative humidity, WBGT, ground and weather condition) factors on the physical and technical activity of elite football on individual playing positions. Physical and technical activity were collected from 779 football players competing in the German Bundesliga during 5 domestic seasons, from 2014/2015 to 2018/2019, totalling 1530 matches. The data on players' physical and technical activity was taken from the IMPIRE AG system. Based on the available data, 11 variables were selected to quantify the match activity profiles of players. The results showed that situational variables had major effects on the technical performance (especially number of passes performed) but minor effects on physical performance. In turn, among the analysed environmental factors, temperature is the most sensitive, which affects the Total Distance and Sprint Efforts of players in all five positions. This investigation demonstrated that, given that passing is a key technical activity in modern football, players and training staff should be particularly aware that passing maybe affected by situational variables. Professional players are able to react and adapt to various environmental conditions, modifying physical activity depending on the needs in German Bundesliga. These results could help coaches and analysts to better understand the influences of situational and environmental variables on individual playing positions during the evaluation of players' physical and technical performance.",[],[],[],NaN
524,C:\Users\shweata\ethics_statement_2000_generic\PMC7943474\eupmc_result.json,PMC7943474,"Ethics Statement The studies involving human participants were reviewed and approved by Ethics Committee of Clínica Dávila. The patients/participants provided their written informed consent to participate in this study. Ethics Statement and Clinical Samples One hundred and twelve patients, who attend to the Sample Collection Unit at Clínica Dávila (Santiago, Chile) for clinical diagnosis of COVID-19, were recruited. For each patient, three sample types were collected including NPS, NMTS, and saliva samples. NPS and NMTS samples were collected using a standard technique, as recommended by the manufacturer (Allplex TM 2019-nCoV Assay insert), and transported to the laboratory in a viral transport medium that was prepared according to the standard operating procedure of the CDC in the United States ( 13). Saliva samples were collected through an assisted self-sampling; it was asked to patients to collect saliva by tilting the head back for 10s and then spit it into a sterile vial. A total of 1–2 mL of saliva per patient was collected and processed."," Background:  Although the nasopharyngeal swab (NPS) is the reference sampling method for the detection of SARS-Cov-2, it is not always possible to collect NPS in some patients. Saliva represents an interesting sampling method because it is less invasive and more convenient in patients with nasal or pharyngeal lesions.  Objective:  To compare the RT-qPCR test performances of saliva samples with nasal mid-turbinate swab (NMTS) and NPS samples in a cohort of ambulatory patients suspected of having COVID-19.  Study Design:  For each of the 112 enrolled patients, NPS, NMTS, and saliva samples were collected and tested for SARS-Cov-2 detection using three different target genes (RdRP, N and E genes) by RT-qPCR.  Results:  Among the positive samples (56/112), saliva samples showed a lower percentage of SARS-Cov-2 detection compared to NPS samples, (85.7  vs . 96.4%), while still a lower percentage was observed for NMTS samples (78.6%). In average, saliva samples showed higher Ct values for all tested target genes, compared to those from NPS and NMTS samples.  Conclusions:  By using the Allplex TM  2019-nCoV Assay Kit, saliva samples showed lower sensitivity for SARS CoV-2 compared to NPS samples; however, the not detected cases had lower viral burden in NPS samples (CT values >33) representing an interesting alternative sampling method in patients in which it is not possible to take a NPS sample.","['Saliva', 'Rt-qpcr', 'Covid-19', 'Sar-cov-2', 'Nasopharangeal Swabs']","['Clínica Dávila', 'Ethics Committee', 'Ethics Statement', 'studies involving', 'involving human', 'human participants', 'Dávila', 'Committee', 'Ethics', 'Collection Unit']",[],NaN
525,C:\Users\shweata\ethics_statement_2000_generic\PMC7943538\eupmc_result.json,PMC7943538,,NaN,[],[],[],NaN
526,C:\Users\shweata\ethics_statement_2000_generic\PMC7943870\eupmc_result.json,PMC7943870,"Ethics Statement The studies involving human participants were reviewed and approved by Ethics Committee of West China Hospital, Sichuan University. The patients/participants provided their written informed consent to participate in this study."," Background Subclinical hypothyroidism (SCH) brain structure and resting state of functional activity have remained unexplored. Purpose To investigate gray matter volume (GMV) and regional brain activity with the fractional amplitude of low-frequency fluctuations (fALFF) in subclinical hypothyroidism (SCH) patients before and after treatment. Material and methods We enrolled 54 SCH and 41 age-, sex-, and education-matched controls. GMV and fALFF of SCH were compared with controls and between pre- and post-treatment within SCH group. Correlations of GMV and fALFF in SCH with thyroid function status and mood scales were assessed by multiple linear regression analysis. Results Compared to controls, GMV in SCH was significantly decreased in Orbital part of inferior frontal, superior frontal, pre-/postcentral, inferior occipital, and temporal pole gyrus. FALFF values in SCH were significantly increased in right angular, left middle frontal, and left superior frontal gyrus. After treatment, there were no significant changes in GMV and the local brain function compared to pre-treatment, however the GMV and fALFF of the defective brain areas were improved. Additionally, decreased values of fALFF in left middle frontal gyrus were correlated with increased mood scales. Conclusion In this study we found that patients with SCH, the gray matter volume in some brain areas were significantly reduced, and regional brain activity was significantly increased. After treatment, the corresponding structural and functional deficiencies had a tendency for improvement. These changes may reveal the neurological mechanisms of mood disorder in SCH patients.","['Subclinical Hypothyroidism', 'Levothyroxine', 'Low-frequency Fluctuation', 'Resting-state Functional Mri', 'Optimized Voxel-Based Morphometry']","['Sichuan University', 'China Hospital', 'West China', 'Ethics Statement', 'Ethics Committee', 'studies involving', 'involving human', 'Hospital', 'Sichuan', 'University']",[],NaN
527,C:\Users\shweata\ethics_statement_2000_generic\PMC7944063\eupmc_result.json,PMC7944063,," Background Fine needle aspiration (FNA) biopsy is an essential procedure for thyroid nodules. Although, the efficacy of surgeon-performed thyroid FNA biopsies has been demonstrated in the literature, there are insufficient data regarding how to establish an efficient program with a low insufficiency rate within a group practice. Methods An endocrine surgery thyroid FNA biopsy program was established in 2000 by one surgeon, with training of additional partners during fellowship and upon recruitment. The results within 18 years were analyzed. The FNA biopsies were performed by endocrine surgeons under ultrasound guidance without on-site pathologist review. Results A total of 5,469 FNA biopsies were performed by 7 surgeons. The total number of FNA biopsies performed by each surgeon varied between 291-1,378. FNA biopsies were performed in 2 passes using 22-gauge needles under constant suction. The overall insufficiency rate was 4.3%, with individual surgeon rates ranging between 2.7% and 7.2%. The insufficiency rate for the whole team ranged between 3.3% and 5% when examined in 5-year blocks. Conclusions This study shows that an establishment of a highly efficient thyroid FNA biopsy program within a group practice is possible with a structured endocrine surgical training and adoption of a standard technique.","['Technique', 'thyroid', 'Fine Needle Biopsy', 'Endocrine Surgeon']",[],[],NaN
528,C:\Users\shweata\ethics_statement_2000_generic\PMC7944158\eupmc_result.json,PMC7944158,," Background As an immune checkpoint that suppresses antitumor immunity, CD276 is a potential therapeutic target for cancer immunotherapy. However, the role of CD276 in esophageal squamous cell carcinoma (ESCC) has not been thoroughly examined. A greater understanding of the regulatory mechanism of CD276 may improve the clinical response and efficacy of cancer immunotherapy. Methods The expression of CD276 was measured by qRT-PCR, IHC and flow cytometry analysis. T cell infiltration in ESCC was measured by qRT-PCR and immunofluorescence analysis. The regulation function of CD276 in glucose metabolism was examined by metabolism assays, western blotting and small molecule inhibitors. Transfection was used for gene editing. The oncogenic function of CD276 was examined in vivo by CAR-T cell therapy model. Results Based on our findings, CD276 regulated the expression of the  PKM2  gene in ESCC. Overexpression of CD276 induced the phosphorylation of PKM2 by the STAT3 signalling pathway to promote glucose metabolism in tumors. The accumulation of lactic acid in the tumor microenvironment has been reported to regulate the immune cells, particularly CD8+ T cells. We further analyzed the effect of CD276 on the function of T cells. Chimeric antigen receptor T cells (CAR-T) targeting human epidermal growth factor receptor 2 (HER2) were used as effector cells to detect the effect of CD276 on immunotherapy. The therapeutic effects of CAR-T cells were markedly limited by CD276 overexpression. Conclusions Our results are the first to show that tumor-derived CD276 supports disease progression. Overexpression of CD276 promoted glucose metabolism in tumor and inhibited the function of CD8+ T cells. Therefore, strategies targeting CD276 might improve the response to cancer immunotherapy of ESCC patients.","['Glucose', 'Esophageal Squamous Cell Carcinoma (Escc)', 'Pkm2', 'Cd276', 'Chimeric Antigen Receptor T Cells (Car-t)']",[],[],NaN
529,C:\Users\shweata\ethics_statement_2000_generic\PMC7944315\eupmc_result.json,PMC7944315,," Background Non-alcoholic fatty liver disease (NAFLD), characterized by the accumulation of excess fat in the liver in people who consume little or no alcohol, is becoming increasingly common around the world, especially in developed countries. Extracts from earthworms have been used as alternative therapies for a variety of diseases but not in NAFLD. Therefore, the aim of this study was to investigate the effect of earthworm extract (EE) on diet-induced fatty liver disease in guinea pigs. Methods EE was extracted, and the effect of EE on the lipid levels and liver damage in guinea pigs fed a high-fat diet (HFD) was assessed. Thirty male guinea pigs at 3 weeks of age were allocated equally to five groups, namely, chow diet, HFD, and HFD with different dosages (0.3, 1.4 and 6.8 µg per kg bodyweight per day) of EE for 4 weeks, and their body weight was monitored throughout the experiment. Liver tissues were examined for gross morphology and histology. Serum levels of total cholesterol (TC), triglycerides (TG), low-density lipoprotein cholesterol (LDL-C), alanine transaminase (ALT) and aspartate aminotransferase (AST) were determined using an autoanalyser. Results HFD induced NAFLD in guinea pigs. HFD-fed guinea pigs that received EE treatment showed milder increases in the serum levels of TC, TG and LDL-C, as well as in the body weight growth rate, compared to the HFD group without EE supplementation. EE intervention reduced the number of lipid-containing hepatocytes, hepatocellular ballooning and sinusoidal distortion in the liver in HFD-fed animals. ALT in serum was significantly elevated by HFD. No statistically significant difference in ALT levels was found between the chow diet group and the HFD group with EE treatment. Conclusions This study demonstrates that the administration of EE suppressed the induction of serum TC, TG and LDL-C in response to HFD. EE also reduced liver damage in HFD-fed guinea pigs. These findings suggest that EE has alleviating effects on dyslipidaemia and liver damage associated with NAFLD.","['Hyperlipidaemia', 'lipid metabolism', 'Fatty Liver Disease', 'Earthworm Extract (Ee)']",[],[],NaN
530,C:\Users\shweata\ethics_statement_2000_generic\PMC7944418\eupmc_result.json,PMC7944418,Ethics statements Patient consent for publication Not required. Ethics approval The study was approved under the Ipsos MORI research ethics committee. Ethics approval The study was approved under the Ipsos MORI research ethics committee.,"The COVID-19 pandemic put a large burden on many healthcare systems, causing fears about resource scarcity and triage. Several COVID-19 guidelines included age as an explicit factor and practices of both triage and 'anticipatory triage' likely limited access to hospital care for elderly patients, especially those in care homes. To ensure the legitimacy of triage guidelines, which affect the public, it is important to engage the public's moral intuitions. Our study aimed to explore general public views in the UK on the role of age, and related factors like frailty and quality of life, in triage during the COVID-19 pandemic. We held online deliberative workshops with members of the general public (n=22). Participants were guided through a deliberative process to maximise eliciting informed and considered preferences. Participants generally accepted the need for triage but strongly rejected 'fair innings' and 'life projects' principles as justifications for age-based allocation. They were also wary of the 'maximise life-years' principle, preferring to maximise the number of lives rather than life years saved. Although they did not arrive at a unified recommendation of one principle, a concern for three core principles and values eventually emerged: equality, efficiency and vulnerability. While these remain difficult to fully respect at once, they captured a considered, multifaceted consensus: utilitarian considerations of efficiency should be tempered with a concern for equality and vulnerability. This 'triad' of ethical principles may be a useful structure to guide ethical deliberation as societies negotiate the conflicting ethical demands of triage.","['Ethics', 'Resource allocation', 'Covid-19']","['statements Patient', 'Patient consent', 'Ipsos MORI', 'MORI research', 'ethics committee', 'Ethics', 'Ethics approval', 'research ethics', 'Ethics statements', 'Patient']",[],NaN
531,C:\Users\shweata\ethics_statement_2000_generic\PMC7944981\eupmc_result.json,PMC7944981,," Introduction The Pacific Islands have among the highest rates of ear disease and hearing loss in the world, especially among children. Given that Ear, Nose and Throat (ENT)/audiology specialists are limited in the region, the successful implementation of ear and hearing health services will depend on the participation and support of the wider community of health professionals. There are currently no studies from the Pacific Islands investigating the knowledge and attitudes of either health students or health professionals towards childhood hearing loss and hearing services. Methods and analysis Survey of medical and nursing students (n=370) currently enrolled at the National University of Samoa. Students will independently and anonymously complete a 10-item questionnaire. The questions assess attitudes to childhood hearing loss (two questions), knowledge of aetiology of childhood hearing loss (three questions), and knowledge of identification and interventions for children with hearing loss (five questions). Responses are based on a 5-point Likert scale (Strongly agree/Agree/Neutral/Disagree/Strongly disagree). Discussion/conclusion We publish these protocols to facilitate similar studies in other low-income and middle-income countries, and especially among our Pacific Island neighbours.","['Rehabilitation', 'Deafness', 'Audiology', 'Health Services Research']",[],[],NaN
532,C:\Users\shweata\ethics_statement_2000_generic\PMC7946037\eupmc_result.json,PMC7946037,"Ethical considerations Research ethics remain an important consideration in any research, for it ensures confidentiality and safety of the participants, the researchers, and challenge any unacceptable human behaviour (Resnik & Shamoo,  2015). For this reason, the entire process of research mandates the researcher to protect the participants from any harm that may occur as a result of the research process (McMillan & Schumacher,  2010). To adhere to this custom, necessary ethical issues were taken into consideration. University of the Free State under the Faculty of Education Ethics Review Committee (Ethical clearance number UFS-HSD2019/0093/0205) granted the researchers ethical clearance for the study. Permission was also granted by the Ministry of Education and Training in the Berea district and the school principals in Lesotho. Moreover, consent by the teachers as well as assent from the learner themselves were sought and granted. Both the consent and the assent letters were made to ensure that the participants understand the details of the entire research process before the study commences. In this particular instance, the consent and assent forms were written and explained in the participantsâ€™ first language (in this case Sesotho). Also, a bigger font was used for LVIs to ensure the fairness of the ethics process (Creswell,  2014). The participants were also made aware of their right to participate or withdraw at any stage of the research (Cohen et al.,  2011). During the data generation methods (Focus group and collage discussions), the researchers ensured that the rights of the participants were not violated throughout the research process (Cohen et al.,  2011). Pseudonyms were used throughout the study to ensure anonymity and any potential harm (Bertram & Christian,  2014). Therefore, the researchers drew from a number of universal ethical principles, such as, Articles 3 and 9 of the Universal Declaration on Bioethics and Human Rights (UNESCO), the declaration of Helsinki (World Medical Association,  2013), and ethical approaches to gathering information from children and adolescents in international settings (Schenk & Williamson,  2005) to ensure that the principles of human dignity, human rights, privacy, and confidentiality were adhered to. Ethic statement Improving the well-being of learners with visual impairments in rural Lesotho schools by means of an asset-based approach. This ethical is valid for 12 months from the date of issue. The request is made that any changes that may take place during the course of this study be submitted to the research ethics office to ensure ethical transparency. Additionally, final report of the study be also submitted."," Purpose : The scarcity of resources, especially in Lesotho rural schools, obstruct the holistic well-being of learners with visual impairments (LVIs). Moreover, the voices of LVIs are often missing about the use of resources to improve their well-being. The study explored an asset-based approach for the improvement of LVIs' well-being in Lesotho. Method : Twenty-eight participants, including six teachers, four learners with and four learners without visual impairments, from two rural primary schools in Lesotho, were purposively chosen. Focus group discussions and collages were employed to generate data. The data were then analyzed thematically. Results : Involving LVIs in the decision-making, building positive relationships within the school, collaboration with parents and school leaders were provided as 'enabling assets' to improve the well-being of learners. Findings also revealed the constraints on LVIs' holistic well-being, such as, lack of management of the existing resources, shortage of qualified teachers,  and inadequate teaching resources. These were consistent with those identified in the literature, highlighting the asset-based complexity approach in rural schools. Conclusions : While the asset-based approach is virtuous, it may not be sufficient if the existing assets are not adequately managed. Therefore, were argue for the critical use of the asset-based approach towards improving the well-being of LVIs.","['Well-being', 'Collage', 'Rurality', 'Arts-based Methods', 'Asset-based Approach', 'Learners With/out Visual Impairments', 'Inclusive Schools']","['Research', 'research process', 'Ethical', 'Research ethics', 'important consideration', 'Resnik', 'Shamoo', 'participants', 'researchers', 'ensure']","['UFS-HSD2019/0093/0205)', 'of']",NaN
533,C:\Users\shweata\ethics_statement_2000_generic\PMC7946183\eupmc_result.json,PMC7946183,," Background Point-of-care arterial blood gas (ABG) is a blood measurement test and a useful diagnostic tool that assists with treatment and therefore improves clinical outcomes. However, numerically reported test results make rapid interpretation difficult or open to interpretation. The arterial blood gas algorithm (ABG-a) is a new digital diagnostics solution that can provide clinicians with real-time interpretation of preliminary data on safety features, oxygenation, acid-base disturbances and renal profile. The main aim of this study was to clinically validate the algorithm against senior experienced clinicians, for acid-base interpretation, in a clinical context. Methods We conducted a prospective international multicentre observational cross-sectional study. 346 sample sets and 64 inpatients eligible for ABG met strict sampling criteria. Agreement was evaluated using Cohen's kappa index, diagnostic accuracy was evaluated with sensitivity, specificity, efficiency or global accuracy and positive predictive values (PPV) and negative predictive values (NPV) for the prevalence in the study population. Results The concordance rates between the interpretations of the clinicians and the ABG-a for acid-base disorders were an observed global agreement of 84,3% with a Cohen's kappa coefficient 0.81; 95% CI 0.77 to 0.86; p  Conclusions The ABG-a showed very high agreement and diagnostic accuracy with experienced senior clinicians in the acid-base disorders in a clinical context. The method also provides refinement and deep complex analysis at the point-of-care that a clinician could have at the bedside on a day-to-day basis. The ABG-a method could also have the potential to reduce human errors by checking for imminent life-threatening situations, analysing the internal consistency of the results, the oxygenation and renal status of the patient.",[],[],[],NaN
534,C:\Users\shweata\ethics_statement_2000_generic\PMC7946190\eupmc_result.json,PMC7946190,," Background Several forms of pulmonary hypertension (PH) disproportionately affect women. Animal and human studies suggest that estradiol exerts mixed effects on the pulmonary vasculature. Whether premature menopause represents a risk factor for PH is unknown. Methods and findings In this cohort study, women in the UK Biobank aged 40-69 years who were postmenopausal and had complete data available on reproductive history were included. Premature menopause, defined as menopause occurring before age 40 years. Postmenopausal women without premature menopause served as the reference group. The primary outcome was incident PH, ascertained by appearance of a qualifying ICD code in the participant's UK Biobank study record. Of 136,715 postmenopausal women included, 5,201 (3.8%) had premature menopause. Participants were followed up for a median of 11.1 (interquartile range 10.5-11.8) years. The primary outcome occurred in 38 women (0.73%) with premature menopause and 409 (0.31%) without. After adjustment for age, race, ever-smoking, body-mass index, systolic blood pressure, antihypertensive medication use, non-high-density lipoprotein cholesterol, cholesterol-lowering medication use, C-reactive protein, prevalent type 2 diabetes, obstructive sleep apnea, heart failure, mitral regurgitation, aortic stenosis, venous thromboembolism, forced vital capacity (FVC), the forced expiratory volume in 1 second-to-FVC ratio, use of menopausal hormone therapy, and hysterectomy status, premature menopause was independently associated with PH (hazard ratio 2.13, 95% CI 1.31-3.23, P Conclusions Premature menopause may represent an independent risk factor for PH in women. Further investigation of the role of sex hormones in PH is needed in animal and human studies to elucidate pathobiology and identify novel therapeutic targets.",[],[],[],NaN
535,C:\Users\shweata\ethics_statement_2000_generic\PMC7946197\eupmc_result.json,PMC7946197,"2.8. Ethical statement This study was carried out in strict accordance with the recommendations in the Guide for the Care and Use of Laboratory Animals of the National Institutes of Health This study was conducted by following the ethics of animal use, including aspects of the humane treatment of animals, in accordance with the principle of 5F (Freedom), namely; (a) free from hunger and thirst, (b) free from discomfort, (c) free from pain, injury and disease, (d) free from fear and the long-term stress, (e) freely expressing behavior naturally, given space and appropriate facilities [ 27â€“ 29]. The protocol was approved by the Committee on the Ethics of Animal Experiments of Bengkulu University.","This study aimed to investigate the effectiveness of leaf ethanolic extract of Etlingera hemisphaerica (LE3H) in reducing defects in fetal anatomy and endochondral ossification in mice induced by HgCl2 during the post-implantation period. Pregnant mice were divided into four groups, each consisting of 10 dams, and received drink and food ad libitum. The first group was administered LE3H (E1), the second one HgCl2 (E2), the third one HgCl2+LE3H (E3), and the fourth was control (E0), administered double-distilled water only. HgCl2 (5 mg/kg bw) was administrated by injection intraperitoneally on gestation day (GD)9 and LE3H (0.39 mg/g bw) was administered by gavage on GD10. The treated and control animals were killed by cervical dislocation on GD18, dissected, and the morphologically normal living fetuses (MNLF) were collected. The MNLF of E0, E1, E2, and E3 from 5 dams were fixed with Bouin solution, and observed using the free hand razor blade technique for soft tissue examination. The remaining MNLF were fixed with 96% ethanol, and then stained with Alizarin Red S and Alcian Blue for ossification examination. Index of length of ossified part (ILOP) of humerus, index of width of ossified part (IWOP) of humerus, ILOP of femur, and IWOP of femur were calculated. E2 had higher cases of anatomical defects (74,6%) than E3 (48.9%), E1 (15.0%), and E0 (0%). E2 had humerus IWOP of 0.82±0.03, which was significantly lower than that of E0 (0.89±0.04) and E1 (0.89±0.03), while that of E1 and E0 was not significantly different from each other. Meanwhile, IWOP in E3 (0.88±0.03) was significantly higher than that in E2, but not different from that in E1 and E0. Thus, LE3H mitigated defects in fetal anatomy and endochondral ossification induced by HgCl2 in mice.",[],"['free', 'National Institutes', 'Laboratory Animals', 'Animal Experiments', 'Bengkulu University', 'ethics', 'Animals', 'animal', 'strict accordance', 'Ethical statement']",[],NaN
536,C:\Users\shweata\ethics_statement_2000_generic\PMC7946303\eupmc_result.json,PMC7946303,,"Sleep is crucial for college students' well-being. Although recommended sleep duration is between 7-9 hours per day, many students do not sleep that much. Scholar demands are among the causes of observed sleep deprivation in youth. We explored the influence of having a school test on previous night sleep in first-year students and the association of sleep duration and test performance. We ran two surveys in freshman students of the Universidad de la República, Montevideo, Uruguay: 1) 97 students of the School of Sciences who took the test at the same time; and 2) 252 School of Psychology students who took the test in four successive shifts. More than 1/2 of the participants (survey #1) and almost 1/3 (survey #2) reported short regular sleep duration (< 7h). In both samples, the sleep duration of the night before the test was reduced with respect to regular nights (survey #1: 2.1 ± 0.2 h, p < 0.001; survey #2: between 1.7 ± 0.4 h and 3.6 ± 0.3 h, all p < 0.001), with more than 10% of the students who did not sleep at all. In survey 2, sleep duration increased in later shifts (F (3,248) = 4.6, p = 0.004). Using logit regressions, we confirmed that sleep duration was positively related to test scores in both samples (survey #1: exp B = 1.15, p < 0.001; pseudo-R2 = 0.38; survey #2: exp B = 1.03, p < 0.001; pseudo-R2 = 0.25). Delaying test start time may prevent the reduction in sleep duration, which may also improve school performance. In addition, educational policies should include information for students about the impact of sleep on learning and of the consequences of reduced sleep duration.",[],[],[],NaN
